"sections","DCI_as"
"2291_s",40.87
"2271_s",41.62
"2276_s",42.81
"2221_s",43.65
"2248_s",47.64
"2261_s",48.05
"2251_s",44.55
"2264_s",48.47
"2243_s",42.88
"2531_s",48.86
"2241_s",42.49
"2370_s",0.07
"2377_s",48.8
"2383_s",47.52
"2385_s",0.9
"2538_s",48.6
"2225_s",42.16
"2450_s",48.69
"2483_s",26.17
"2503_s",46.52
"2545_s",47.76
"2555_s",44.63
"2563_s",47.14
"2223_s",40.23
"2393_s",48.52
"2455_s",44.3
"2459_s",41.89
"2507_s",0.53
"2576_s",42.6
"2583_s",47.61
"2590_s",43.5
"2593_s",39.4
"2224_s",38.73
"2409_s",48.05
"2426_s",45.37
"2622_s",0.72
"2627_s",45.22
"2632_s",0.2
"2635_s",46.37
"2601_s",41.87
"2595_s",38.28
"2236_s",38.1
"2434_s",45.6
"2445_s",42.13
"2495_s",45.99
"2684_s",46.14
"2686_s",33.39
"2675_s",44.47
"2524_s",0.77
"2649_s",8.03
"2638_s",45.73
"2604_s",40.7
"2228_s",37.71
"2681_s",44.81
"2765_s",41.58
"2773_s",42.38
"2775_s",45.13
"2690_s",28.21
"2669_s",42.38
"2653_s",5.71
"3224_s",8.91
"3215_s",40.57
"3237_s",31.63
"3240_s",33
"3244_s",41.28
"2663_s",37.42
"2232_s",37.31
"2678_s",44.06
"2745_s",40.84
"2758_s",1.39
"2813_s",39.23
"2780_s",43.61
"2815_s",44.42
"2672_s",41.08
"3256_s",4.32
"3266_s",3.48
"3271_s",10.37
"2791_s",39.15
"3291_s",35.62
"2303_s",36.36
"2693_s",43.29
"2902_s",38.63
"2919_s",3.51
"3046_s",30.66
"3055_s",37.73
"2822_s",40.6
"3065_s",41.18
"2818_s",43.3
"2706_s",39.5
"3329_s",10.59
"3332_s",9.21
"2795_s",21.4
"3232_s",38.47
"3288_s",18.09
"3298_s",34.24
"3384_s",4.34
"3404_s",0.52
"3440_s",23.88
"2195_s",0.46
"2315_s",35.23
"2731_s",38.81
"2734_s",2.83
"3644_s",13.26
"3107_s",35.84
"3146_s",37.48
"3149_s",34.63
"3117_s",0.83
"3128_s",34.24
"3130_s",34.78
"2710_s",34.55
"3331_s",10.86
"3347_s",9.15
"2833_s",38.19
"3307_s",0.59
"3314_s",0.98
"3433_s",0.03
"2207_s",0.46
"2850_s",0.53
"2854_s",21.22
"2877_s",2.85
"3153_s",28.47
"3135_s",0.76
"3687_s",0.42
"3707_s",19.91
"3718_s",31.52
"3143_s",28.63
"2728_s",31.81
"3351_s",10.94
"3354_s",3.69
"2837_s",37.76
"3341_s",0
"3445_s",0.7
"3449_s",0.2
"3454_s",0.19
"2211_s",1.97
"2176_s",0.51
"2183_s",1.04
"2879_s",2.84
"2926_s",2.32
"3720_s",28.34
"3430_s",10.17
"3605_s",10.05
"3617_s",10.9
"3072_s",35.9
"3082_s",37.44
"2202_s",1.87
"2342_s",1.97
"2180_s",0.45
"2937_s",0.7
"3858_s",6.99
"3876_s",7.59
"3889_s",1.59
"3899_s",5.43
"3902_s",7.05
"3085_s",35.74
"2934_s",0.11
"3088_s",34.53
"3091_s",35.17
"3641_s",0
"3398_s",33.8
"3402_s",2.1
"3180_s",26.68
"3187_s",28.3
"3203_s",0.65
"3465_s",0.01
"3473_s",0.42
"3477_s",2.29
"3491_s",2.24
"3484_s",0.19
"3531_s",0.07
"3773_s",0.04
"3781_s",2.37
"3763_s",2.18
"3817_s",2.28
"3836_s",2.21
"3845_s",0.39
"sink",40.48
