"sections","DCI_as"
"1_s",39.66
"100_s",17.95
"101_s",14.4
"103_s",14.4
"107_s",14.4
"110_s",14.4
"111_s",14.4
"104_s",14.11
"105_s",14.4
"108_s",14.4
"109_s",14.11
"113_s",40.04
"114_s",40.04
"128_s",40.04
"115_s",40.04
"161_s",38.48
"116_s",39.15
"118_s",39.15
"164_s",39.15
"15_s",31.28
"14_s",31.28
"12_s",31.28
"120_s",40.04
"125_s",39.11
"131_s",39.11
"172_s",39.11
"130_s",40.04
"162_s",35.81
"133_s",40.56
"138_s",40.56
"65_s",40.56
"135_s",40.56
"62_s",40.56
"136_s",40.2
"141_s",40.2
"142_s",40.2
"66_s",40.29
"139_s",40.56
"23_s",30.83
"149_s",40.2
"151_s",40.2
"145_s",34.76
"146_s",32.5
"147_s",32.5
"148_s",32.5
"155_s",4.14999999999998
"233_s",28.55
"18_s",31.28
"17_s",31.28
"152_s",37.8
"153_s",32.67
"154_s",30.58
"160_s",29.52
"157_s",4.02999999999998
"158_s",4.02999999999999
"236_s",4.02999999999999
"159_s",3.86999999999999
"254_s",3.77999999999999
"237_s",28.91
"163_s",35.23
"168_s",35.23
"173_s",35.23
"166_s",39.15
"167_s",39.15
"258_s",29.24
"259_s",35.35
"170_s",35.23
"263_s",35.23
"171_s",0.01
"392_s",38.58
"174_s",40.29
"175_s",14.58
"195_s",15.65
"176_s",3.44
"178_s",3.54
"177_s",3.44
"242_s",3.44
"196_s",3.58
"19_s",31.47
"183_s",15.65
"184_s",15.65
"194_s",15.65
"203_s",15.65
"4_s",31.76
"193_s",15.65
"198_s",15.65
"197_s",3.58
"201_s",3.58
"280_s",3.15
"200_s",15.65
"207_s",15.65
"2_s",40.47
"20_s",31.76
"21_s",27.64
"205_s",3.53
"202_s",1.68
"318_s",1.68
"319_s",1.68
"204_s",1.52
"206_s",3.53
"216_s",3.53
"209_s",15.65
"210_s",15.65
"211_s",15.8
"22_s",26.2
"213_s",0.02
"221_s",15.8
"229_s",15.8
"214_s",0.11
"215_s",1.53
"231_s",1.53
"339_s",1.53
"217_s",3.53
"218_s",3.53
"36_s",24.97
"220_s",15.8
"224_s",15.8
"226_s",15.8
"223_s",15.8
"337_s",4.05
"225_s",16.29
"227_s",16.29
"330_s",16.29
"228_s",14.8
"333_s",14.8
"338_s",14.8
"230_s",0.15
"24_s",30.63
"232_s",3.34
"234_s",27.19
