NodeType,NodeEID,NodeLabel,HabQuantity,HabUnits,BarrierPerm,NaturalTF,DownstreamEID,DownstreamNodeLabel,DownstreamNeighDistance,DistanceUnits
Branch Junction,12,189,363.9,Metres,1,F,Sink,Sink,363.9,Metres
Barrier,14,300101,440.2,Metres,0.98,F,12,189,440.2,Metres
Branch Junction,15,177,771.07,Metres,1,F,12,189,771.07,Metres
Barrier,23,300009,1484.06,Metres,0.99,F,14,300101,1484.06,Metres
Source Junction,17,182,570.44,Metres,1,F,15,177,570.44,Metres
Barrier,18,300055,1062.16,Metres,0.99,F,15,177,1062.16,Metres
Barrier,24,300056,258.35,Metres,0.97,F,23,300009,258.35,Metres
Barrier,19,300036,18.74,Metres,0.98,F,18,300055,18.74,Metres
Barrier,25,300090,16.91,Metres,0.99,F,24,300056,16.91,Metres
Branch Junction,4,149,498.32,Metres,1,F,19,300036,498.32,Metres
Barrier,26,300140,13.75,Metres,0.99,F,25,300090,13.75,Metres
Barrier,6,300066,565.5,Metres,0.98,F,4,149,565.5,Metres
Barrier,20,300067,663.81,Metres,0.87,F,4,149,663.81,Metres
Barrier,27,300141,168.3,Metres,0.98,F,26,300140,168.3,Metres
Barrier,7,10148,373.39,Metres,0.89,F,6,300066,373.39,Metres
Barrier,21,300117,240.5,Metres,0.95,F,20,300067,240.5,Metres
Barrier,28,300139,256.02,Metres,0.99,F,27,300141,256.02,Metres
Barrier,8,300135,61.57,Metres,0.9,F,7,10148,61.57,Metres
Barrier,22,300022,6.49,Metres,0.95,F,21,300117,6.49,Metres
Barrier,37,300114,382.74,Metres,0.98,F,28,300139,382.74,Metres
Barrier,9,300037,12.79,Metres,0.86,F,8,300135,12.79,Metres
Source Junction,36,173,203.79,Metres,1,F,22,300022,203.79,Metres
Branch Junction,38,196,149.93,Metres,1,F,37,300114,149.93,Metres
Branch Junction,29,123,1365.45,Metres,1,F,9,300037,1365.45,Metres
Branch Junction,40,198,79.21,Metres,1,F,38,196,79.21,Metres
Barrier,52,300107,1249.39,Metres,0.98,F,38,196,1249.39,Metres
Branch Junction,31,126,122.25,Metres,1,F,29,123,122.25,Metres
Branch Junction,34,85,1217.77,Metres,1,F,29,123,1217.77,Metres
Barrier,41,300068,50.08,Metres,0.78,F,40,198,50.08,Metres
Barrier,42,300069,97.25,Metres,0.95,F,40,198,97.25,Metres
Barrier,51,300132,10.95,Metres,0.98,F,52,300107,10.95,Metres
Source Junction,33,130,24.9,Metres,1,F,31,126,24.9,Metres
Barrier,35,300084,535.94,Metres,0.98,F,31,126,535.94,Metres
Barrier,2,300106,262.42,Metres,0.98,F,34,85,262.42,Metres
Source Junction,3,77,294.01,Metres,1,F,34,85,294.01,Metres
Barrier,45,300131,172.93,Metres,0.93,F,41,300068,172.93,Metres
Barrier,43,300034,4.3,Metres,0.95,F,42,300069,4.3,Metres
Barrier,55,300123,1064.62,Metres,0.96,F,51,300132,1064.62,Metres
Branch Junction,71,120,2323.35,Metres,1,F,35,300084,2323.35,Metres
Source Junction,1,78,555.18,Metres,1,F,2,300106,555.18,Metres
Barrier,46,300028,66.62,Metres,0.97,F,45,300131,66.62,Metres
Barrier,44,300018,145.15,Metres,0.91,F,43,300034,145.15,Metres
Branch Junction,56,161,44.56,Metres,1,F,55,300123,44.56,Metres
Branch Junction,68,114,318.18,Metres,1,F,71,120,318.18,Metres
Barrier,72,300075,335.29,Metres,0.97,F,71,120,335.29,Metres
Barrier,47,300027,141.13,Metres,0.92,F,46,300028,141.13,Metres
Barrier,48,300077,162.22,Metres,0.46,F,44,300018,162.22,Metres
Source Junction,70,144,901.55,Metres,1,F,56,161,901.55,Metres
Barrier,99,300081,497.28,Metres,0.64,F,56,161,497.28,Metres
Barrier,73,300076,323.11,Metres,0.96,F,68,114,323.11,Metres
Barrier,78,300063,611.33,Metres,0.96,F,68,114,611.33,Metres
Branch Junction,74,137,210.46,Metres,1,F,72,300075,210.46,Metres
Barrier,49,300119,169.75,Metres,0.45,F,47,300027,169.75,Metres
Branch Junction,58,209,674.17,Metres,1,F,48,300077,674.17,Metres
Barrier,100,300093,10.96,Metres,0.75,F,99,300081,10.96,Metres
Barrier,86,300058,380.3,Metres,0.95,F,73,300076,380.3,Metres
Branch Junction,79,105,496.87,Metres,1,F,78,300063,496.87,Metres
Source Junction,85,138,459.19,Metres,1,F,74,137,459.19,Metres
Branch Junction,88,147,967.16,Metres,1,F,74,137,967.16,Metres
Source Junction,50,218,479.55,Metres,1,F,49,300119,479.55,Metres
Barrier,59,300070,133.68,Metres,0.95,F,58,209,133.68,Metres
Source Junction,60,205,408.54,Metres,1,F,58,209,408.54,Metres
Branch Junction,101,186,365.59,Metres,1,F,100,300093,365.59,Metres
Source Junction,87,129,196.82,Metres,1,F,86,300058,196.82,Metres
Branch Junction,80,103,20.55,Metres,1,F,79,105,20.55,Metres
Branch Junction,82,101,809.91,Metres,1,F,79,105,809.91,Metres
Barrier,89,300082,10.81,Metres,0.96,F,88,147,10.81,Metres
Barrier,93,300005,277.76,Metres,0.96,F,88,147,277.76,Metres
Source Junction,61,235,740.49,Metres,1,F,59,300070,740.49,Metres
Branch Junction,103,191,718.75,Metres,1,F,101,186,718.75,Metres
Branch Junction,107,212,1079.48,Metres,1,F,101,186,1079.48,Metres
Source Junction,81,106,45.31,Metres,1,F,80,103,45.31,Metres
