ObID,BarrierOrFlagID,Downstream_Barrier,BarrierOrFlagLabel,Downstream_BarrierLabel
1,1363,Sink,CUL-O46,Sink
2,1368,Sink,CUL-O53,Sink
3,1371,Sink,NoName,Sink
4,1477,Sink,Milton Roll Dam,Sink
5,1478,Sink,CUL-O72,Sink
6,1487,Sink,CUL-O69,Sink
7,1535,Sink,CUL-O40,Sink
8,1536,Sink,CUL-O49,Sink
9,1342,1363,CUL-O47,CUL-O46
10,1450,1477,CUL-O74,Milton Roll Dam
11,1455,1477,CUL-O73,Milton Roll Dam
12,1459,1477,CUL-O68,Milton Roll Dam
13,1463,1477,Cowie Falls Dam,Milton Roll Dam
14,1473,1477,CUL-O66,Milton Roll Dam
15,1373,1487,CUL-O81,CUL-O69
16,1534,1535,CUL-O59,CUL-O40
17,1360,1536,CUL-O54,CUL-O49
18,1331,1463,CUL-O55,Cowie Falls Dam
19,1344,1463,CUL-O56,Cowie Falls Dam
20,1384,1463,CUL-O76,Cowie Falls Dam
21,1409,1463,CUL-O86,Cowie Falls Dam
22,1414,1463,NoName,Cowie Falls Dam
23,1427,1463,CUL-O78,Cowie Falls Dam
24,1492,1463,CUL-O65,Cowie Falls Dam
25,1494,1463,Deep Brook Dam,Cowie Falls Dam
26,1531,1534,CUL-O42,CUL-O59
27,1428,1427,NoName,CUL-O78
28,1398,1494,Lower Great Brook Dam,Deep Brook Dam
29,1403,1494,CUL-O85,Deep Brook Dam
30,1557,1494,CUL-O84,Deep Brook Dam
31,1533,1531,CUL-O48,CUL-O42
32,1209,1398,CUL-O97,Lower Great Brook Dam
33,1233,1398,CUL-O94,Lower Great Brook Dam
34,1257,1398,Big Falls Dam,Lower Great Brook Dam
35,1404,1403,CUL-O83,CUL-O85
36,1574,1557,CUL-O88,CUL-O84
37,1575,1557,CUL-O90,CUL-O84
38,1532,1533,CUL-O39,CUL-O48
39,1162,1257,CUL-O96,Big Falls Dam
40,1164,1257,CUL-O105,Big Falls Dam
41,1185,1257,Lower Lake Falls Dam,Big Falls Dam
42,1283,1257,CUL-O108,Big Falls Dam
43,1578,1404,CUL-O93,CUL-O83
44,1586,1574,CUL-O89,CUL-O88
45,1521,1532,CUL-O61,CUL-O39
46,1177,1185,Upper Lake Falls Dam,Lower Lake Falls Dam
47,1700,1283,CUL-O107,CUL-O108
48,1579,1578,CUL-O92,CUL-O93
49,1517,1521,CUL-O41,CUL-O61
50,92,1177,Jordan Lake Dam,Upper Lake Falls Dam
51,122,1177,Sixth Lake Dam,Upper Lake Falls Dam
52,163,1177,CUL-O207,Upper Lake Falls Dam
53,188,1177,CUL-O103,Upper Lake Falls Dam
54,200,1177,CUL-O87,Upper Lake Falls Dam
55,205,1177,CUL-O102,Upper Lake Falls Dam
56,206,1177,CUL-O104,Upper Lake Falls Dam
57,484,1177,CUL-O133,Upper Lake Falls Dam
58,499,1177,CUL-O111,Upper Lake Falls Dam
59,500,1177,CUL-O112,Upper Lake Falls Dam
60,623,1177,CUL-O136,Upper Lake Falls Dam
61,626,1177,CUL-O132,Upper Lake Falls Dam
62,638,1177,CUL-O134,Upper Lake Falls Dam
63,678,1177,CUL-O135,Upper Lake Falls Dam
64,707,1177,Little Peskowesk Lake,Upper Lake Falls Dam
65,744,1177,CUL 175,Upper Lake Falls Dam
66,780,1177,CUL-O125,Upper Lake Falls Dam
67,781,1177,CUL-O118,Upper Lake Falls Dam
68,787,1177,CUL-O124,Upper Lake Falls Dam
69,794,1177,CUL-O130,Upper Lake Falls Dam
70,848,1177,CUL-O120,Upper Lake Falls Dam
71,875,1177,NoName,Upper Lake Falls Dam
72,917,1177,CUL-O126,Upper Lake Falls Dam
73,945,1177,CUL-O123,Upper Lake Falls Dam
74,1103,1177,CUL-O100,Upper Lake Falls Dam
75,1107,1177,CUL-O98,Upper Lake Falls Dam
76,1141,1177,CUL-O99,Upper Lake Falls Dam
77,1148,1177,CUL-O101,Upper Lake Falls Dam
78,1754,1177,CUL-O109,Upper Lake Falls Dam
79,1783,1177,CUL-O117,Upper Lake Falls Dam
80,1784,1177,CUL-O116,Upper Lake Falls Dam
81,1785,1177,CUL-O114,Upper Lake Falls Dam
82,1786,1177,CUL-O115,Upper Lake Falls Dam
83,1580,1579,CUL-O91,CUL-O92
84,1516,1517,CUL-O50,CUL-O41
85,1522,1517,CUL-O44,CUL-O41
86,22,92,CUL-O210,Jordan Lake Dam
87,44,92,Jordan River Dam,Jordan Lake Dam
88,73,92,CUL-O217,Jordan Lake Dam
89,76,92,CUL-O212,Jordan Lake Dam
90,79,92,CUL-O215,Jordan Lake Dam
91,89,92,CUL-O218,Jordan Lake Dam
92,161,122,CUL-O209,Sixth Lake Dam
93,507,500,CUL-O110,CUL-O112
94,649,638,CUL-O137,CUL-O134
95,652,638,CUL-O131,CUL-O134
96,700,707,Hilchemakaar Lake,Little Peskowesk Lake
97,789,787,CUL-O129,CUL-O124
98,771,875,CUL-O152,NoName
99,883,875,CUL-O127,NoName
100,899,875,CUL-O121,NoName
101,904,875,CUL-O140,NoName
102,908,875,CUL-O146,NoName
103,969,875,CUL 055,NoName
104,982,875,CUL-O142,NoName
105,994,875,CUL 079,NoName
106,996,875,CUL 078,NoName
107,1039,875,CUL-O143,NoName
108,1040,875,CUL-O141,NoName
109,1043,875,CUL-O139,NoName
110,1052,875,CUL-O144,NoName
111,1894,875,CUL 112,NoName
112,2261,875,CUL-O158,NoName
113,2301,875,CUL 014,NoName
114,2348,875,CUL-O156,NoName
115,2361,875,CUL-O154,NoName
116,2409,875,CUL-O157,NoName
117,2457,875,CUL-O162,NoName
118,2491,875,CUL-O164,NoName
119,2499,875,CUL-O159,NoName
120,2519,875,CUL-O178,NoName
121,2552,875,CUL 099,NoName
122,2557,875,CUL 007,NoName
123,2594,875,CUL-O37,NoName
124,2684,875,CUL 004,NoName
125,2688,875,CUL 003,NoName
126,2725,875,CUL-O174,NoName
127,2728,875,CUL-O168,NoName
128,2736,875,CUL-O1,NoName
129,2783,875,CUL-O177,NoName
130,2857,875,CUL-O15,NoName
131,2859,875,CUL-O13,NoName
132,2926,875,CUL-O29,NoName
133,2929,875,CUL-O31,NoName
134,2950,875,CUL-O25,NoName
135,2980,875,CUL-O22,NoName
136,2988,875,CUL-O24,NoName
137,3070,875,CUL-O12,NoName
138,3075,875,CUL-O5,NoName
139,3076,875,CUL-O4,NoName
140,3131,875,CUL-O3,NoName
141,3139,875,CUL-O8,NoName
142,3267,875,CUL-O9,NoName
143,3280,875,CUL-O7,NoName
144,3296,875,CUL-O18,NoName
145,928,917,CUL-O119,CUL-O126
146,951,945,CUL-O128,CUL-O123
147,953,945,CUL-O138,CUL-O123
148,959,1783,CUL-O147,CUL-O117
149,1794,1785,CUL-O113,CUL-O114
150,27,76,CUL-O208,CUL-O212
151,428,649,Beaverskin Lake,CUL-O137
152,756,771,CUL-O150,CUL-O152
153,932,908,CUL-O122,CUL-O146
154,1053,1052,CUL-O145,CUL-O144
155,2309,2301,CUL 176,CUL 014
156,2429,2301,CUL 038,CUL 014
157,2468,2301,CUL-O175,CUL 014
158,2476,2301,CUL 100,CUL 014
159,2411,2361,CUL-O155,CUL-O154
160,2458,2457,CUL-O170,CUL-O162
161,2497,2499,CUL-O172,CUL-O159
162,2551,2552,CUL 035,CUL 099
163,2690,2688,CUL 082,CUL 003
164,2693,2688,CUL-O179,CUL 003
165,2726,2725,CUL-O165,CUL-O174
166,2706,2728,CUL-O169,CUL-O168
167,2713,2728,CUL-O180,CUL-O168
168,2763,2728,CUL-O38,CUL-O168
169,2737,2736,CUL-O2,CUL-O1
170,2847,2859,CUL-O14,CUL-O13
171,2836,2929,CUL-O28,CUL-O31
