"Seg_ID","Shape_Length"
"sink",1.85
"1363_s",0.8
"1368_s",0.9
"1371_s",0
"1477_s",0.3
"1478_s",3.18
"1487_s",0.4
"1535_s",0.05
"1536_s",0.18
"1342_s",0.4
"1450_s",0.06
"1455_s",0.12
"1459_s",0.15
"1463_s",8.51
"1473_s",0.17
"1373_s",0.7
"1534_s",0.08
"1360_s",0.16
"1331_s",0.5
"1344_s",0.47
"1384_s",0.09
"1409_s",0.16
"1414_s",0
"1427_s",0.01
"1492_s",0
"1494_s",3.47
"1531_s",0.07
"1428_s",0.34
"1398_s",23.64
"1403_s",0.38
"1557_s",2.67
"1533_s",0.11
"1209_s",1.21
"1233_s",0.81
"1257_s",4.37
"1404_s",13.68
"1574_s",0.27
"1575_s",0.35
"1532_s",1.98
"1162_s",4.64
"1164_s",0.03
"1185_s",0
"1283_s",2.55
"1578_s",0.27
"1586_s",0.05
"1521_s",0.1
"1177_s",99.26
"1700_s",0.43
"1579_s",0.05
"1517_s",0.75
"92_s",8.03
"122_s",0.49
"163_s",2.14
"188_s",0.03
"200_s",0.02
"205_s",0.45
"206_s",0.98
"484_s",1.13
"499_s",0.35
"500_s",0.52
"623_s",0.9
"626_s",0
"638_s",37.13
"678_s",0.25
"707_s",1.04
"744_s",1.21
"780_s",0.36
"781_s",0.03
"787_s",0.4
"794_s",0.06
"848_s",4.88
"875_s",216.28
"917_s",0.87
"945_s",2.4
"1103_s",0.4
"1107_s",0.4
"1141_s",0.05
"1148_s",0.02
"1754_s",0.13
"1783_s",0.55
"1784_s",0.56
"1785_s",0.2
"1786_s",0.18
"1580_s",0.04
"1516_s",0.09
"1522_s",0.09
"22_s",0.25
"44_s",4.35
"73_s",0.3
"76_s",1.61
"79_s",0.02
"89_s",0
"161_s",0.53
"507_s",1.33
"649_s",2.84
"652_s",0.41
"700_s",0.04
"789_s",0.16
"771_s",0.28
"883_s",0.27
"899_s",0.01
"904_s",0.87
"908_s",1.22
"969_s",0.19
"982_s",0.17
"994_s",0.05
"996_s",0.03
"1039_s",0.24
"1040_s",0.34
"1043_s",0.04
"1052_s",0.38
"1894_s",0.2
"2261_s",0.13
"2301_s",4.45
"2348_s",1.01
"2361_s",4.26
"2409_s",1.51
"2457_s",0.15
"2491_s",0.26
"2499_s",1.43
"2519_s",0.39
"2552_s",0.23
"2557_s",0.56
"2594_s",0.36
"2684_s",0.29
"2688_s",0.8
"2725_s",0.31
"2728_s",2.41
"2736_s",0.66
"2783_s",0.25
"2857_s",0.07
"2859_s",0.07
"2926_s",0.17
"2929_s",1.8
"2950_s",1.57
"2980_s",2.61
"2988_s",2.39
"3070_s",1.1
"3075_s",0.1
"3076_s",0.42
"3131_s",33.22
"3139_s",0.46
"3267_s",0.2
"3280_s",0.05
"3296_s",0.15
"928_s",0.02
"951_s",0.56
"953_s",0.44
"959_s",0.3
"1794_s",0.92
"27_s",0.73
"428_s",0
"756_s",0.06
"932_s",0.08
"1053_s",1.18
"2309_s",0.12
"2429_s",0.4
"2468_s",0.05
"2476_s",0.45
"2411_s",0.22
"2458_s",0.01
"2497_s",0.16
"2551_s",0.51
"2690_s",0.05
"2693_s",0.05
"2726_s",1.49
"2706_s",0
"2713_s",0.36
"2763_s",0.82
"2737_s",0.12
"2847_s",0.48
"2836_s",0.05
"2916_s",3.7
"2917_s",0
"2939_s",0.41
"2948_s",0.09
"3018_s",5.08
"3032_s",7.85
"3210_s",0.93
"3222_s",0.05
"3321_s",8.32
"3424_s",1.21
"3479_s",0.32
"3487_s",0.11
"3489_s",0.04
"3142_s",0.15
"3265_s",0.06
"935_s",0.15
"1054_s",0.28
"2487_s",0.13
"2692_s",0.11
"2767_s",1.02
"2486_s",0.04
"2771_s",0.03
"2781_s",0.1
"2785_s",0.49
"2779_s",0.13
