"Seg_ID","Seg"
"1363_s","1363_s"
"1363_s","sink"
"1363_s","1342_s"
"1368_s","1368_s"
"1368_s","sink"
"1371_s","1371_s"
"1371_s","sink"
"1477_s","1477_s"
"1477_s","sink"
"1477_s","1450_s"
"1477_s","1455_s"
"1477_s","1459_s"
"1477_s","1463_s"
"1477_s","1473_s"
"1478_s","1478_s"
"1478_s","sink"
"1487_s","1487_s"
"1487_s","sink"
"1487_s","1373_s"
"1535_s","1535_s"
"1535_s","sink"
"1535_s","1534_s"
"1536_s","1536_s"
"1536_s","sink"
"1536_s","1360_s"
"1342_s","1342_s"
"1342_s","1363_s"
"1450_s","1450_s"
"1450_s","1477_s"
"1455_s","1455_s"
"1455_s","1477_s"
"1459_s","1459_s"
"1459_s","1477_s"
"1463_s","1463_s"
"1463_s","1477_s"
"1463_s","1331_s"
"1463_s","1344_s"
"1463_s","1384_s"
"1463_s","1409_s"
"1463_s","1414_s"
"1463_s","1427_s"
"1463_s","1492_s"
"1463_s","1494_s"
"1473_s","1473_s"
"1473_s","1477_s"
"1373_s","1373_s"
"1373_s","1487_s"
"1534_s","1534_s"
"1534_s","1535_s"
"1534_s","1531_s"
"1360_s","1360_s"
"1360_s","1536_s"
"1331_s","1331_s"
"1331_s","1463_s"
"1344_s","1344_s"
"1344_s","1463_s"
"1384_s","1384_s"
"1384_s","1463_s"
"1409_s","1409_s"
"1409_s","1463_s"
"1414_s","1414_s"
"1414_s","1463_s"
"1427_s","1427_s"
"1427_s","1463_s"
"1427_s","1428_s"
"1492_s","1492_s"
"1492_s","1463_s"
"1494_s","1494_s"
"1494_s","1463_s"
"1494_s","1398_s"
"1494_s","1403_s"
"1494_s","1557_s"
"1531_s","1531_s"
"1531_s","1534_s"
"1531_s","1533_s"
"1428_s","1428_s"
"1428_s","1427_s"
"1398_s","1398_s"
"1398_s","1494_s"
"1398_s","1209_s"
"1398_s","1233_s"
"1398_s","1257_s"
"1403_s","1403_s"
"1403_s","1494_s"
"1403_s","1404_s"
"1557_s","1557_s"
"1557_s","1494_s"
"1557_s","1574_s"
"1557_s","1575_s"
"1533_s","1533_s"
"1533_s","1531_s"
"1533_s","1532_s"
"1209_s","1209_s"
"1209_s","1398_s"
"1233_s","1233_s"
"1233_s","1398_s"
"1257_s","1257_s"
"1257_s","1398_s"
"1257_s","1162_s"
"1257_s","1164_s"
"1257_s","1185_s"
"1257_s","1283_s"
"1404_s","1404_s"
"1404_s","1403_s"
"1404_s","1578_s"
"1574_s","1574_s"
"1574_s","1557_s"
"1574_s","1586_s"
"1575_s","1575_s"
"1575_s","1557_s"
"1532_s","1532_s"
"1532_s","1533_s"
"1532_s","1521_s"
"1162_s","1162_s"
"1162_s","1257_s"
"1164_s","1164_s"
"1164_s","1257_s"
"1185_s","1185_s"
"1185_s","1257_s"
"1185_s","1177_s"
"1283_s","1283_s"
"1283_s","1257_s"
"1283_s","1700_s"
"1578_s","1578_s"
"1578_s","1404_s"
"1578_s","1579_s"
"1586_s","1586_s"
"1586_s","1574_s"
"1521_s","1521_s"
"1521_s","1532_s"
"1521_s","1517_s"
"1177_s","1177_s"
"1177_s","1185_s"
"1177_s","92_s"
"1177_s","122_s"
"1177_s","163_s"
"1177_s","188_s"
"1177_s","200_s"
"1177_s","205_s"
"1177_s","206_s"
"1177_s","484_s"
"1177_s","499_s"
"1177_s","500_s"
"1177_s","623_s"
"1177_s","626_s"
"1177_s","638_s"
"1177_s","678_s"
"1177_s","707_s"
"1177_s","744_s"
"1177_s","780_s"
"1177_s","781_s"
"1177_s","787_s"
"1177_s","794_s"
"1177_s","848_s"
"1177_s","875_s"
"1177_s","917_s"
"1177_s","945_s"
"1177_s","1103_s"
"1177_s","1107_s"
"1177_s","1141_s"
"1177_s","1148_s"
"1177_s","1754_s"
"1177_s","1783_s"
"1177_s","1784_s"
"1177_s","1785_s"
"1177_s","1786_s"
"1700_s","1700_s"
"1700_s","1283_s"
"1579_s","1579_s"
"1579_s","1578_s"
"1579_s","1580_s"
"1517_s","1517_s"
"1517_s","1521_s"
"1517_s","1516_s"
"1517_s","1522_s"
"92_s","92_s"
"92_s","1177_s"
"92_s","22_s"
"92_s","44_s"
"92_s","73_s"
"92_s","76_s"
"92_s","79_s"
"92_s","89_s"
"122_s","122_s"
"122_s","1177_s"
"122_s","161_s"
"163_s","163_s"
"163_s","1177_s"
"188_s","188_s"
"188_s","1177_s"
"200_s","200_s"
"200_s","1177_s"
"205_s","205_s"
"205_s","1177_s"
"206_s","206_s"
"206_s","1177_s"
"484_s","484_s"
"484_s","1177_s"
"499_s","499_s"
"499_s","1177_s"
"500_s","500_s"
"500_s","1177_s"
"500_s","507_s"
"623_s","623_s"
"623_s","1177_s"
"626_s","626_s"
"626_s","1177_s"
"638_s","638_s"
"638_s","1177_s"
"638_s","649_s"
"638_s","652_s"
"678_s","678_s"
"678_s","1177_s"
"707_s","707_s"
"707_s","1177_s"
"707_s","700_s"
"744_s","744_s"
"744_s","1177_s"
"780_s","780_s"
"780_s","1177_s"
"781_s","781_s"
"781_s","1177_s"
"787_s","787_s"
"787_s","1177_s"
"787_s","789_s"
"794_s","794_s"
"794_s","1177_s"
"848_s","848_s"
"848_s","1177_s"
"875_s","875_s"
"875_s","1177_s"
"875_s","771_s"
"875_s","883_s"
"875_s","899_s"
"875_s","904_s"
"875_s","908_s"
"875_s","969_s"
"875_s","982_s"
"875_s","994_s"
"875_s","996_s"
"875_s","1039_s"
"875_s","1040_s"
"875_s","1043_s"
"875_s","1052_s"
"875_s","1894_s"
"875_s","2261_s"
"875_s","2301_s"
"875_s","2348_s"
"875_s","2361_s"
"875_s","2409_s"
"875_s","2457_s"
"875_s","2491_s"
"875_s","2499_s"
"875_s","2519_s"
"875_s","2552_s"
"875_s","2557_s"
"875_s","2594_s"
"875_s","2684_s"
"875_s","2688_s"
"875_s","2725_s"
"875_s","2728_s"
"875_s","2736_s"
"875_s","2783_s"
"875_s","2857_s"
"875_s","2859_s"
"875_s","2926_s"
"875_s","2929_s"
"875_s","2950_s"
"875_s","2980_s"
"875_s","2988_s"
"875_s","3070_s"
"875_s","3075_s"
"875_s","3076_s"
"875_s","3131_s"
"875_s","3139_s"
"875_s","3267_s"
"875_s","3280_s"
"875_s","3296_s"
"917_s","917_s"
"917_s","1177_s"
"917_s","928_s"
"945_s","945_s"
"945_s","1177_s"
"945_s","951_s"
"945_s","953_s"
"1103_s","1103_s"
"1103_s","1177_s"
"1107_s","1107_s"
"1107_s","1177_s"
"1141_s","1141_s"
"1141_s","1177_s"
"1148_s","1148_s"
"1148_s","1177_s"
"1754_s","1754_s"
"1754_s","1177_s"
"1783_s","1783_s"
"1783_s","1177_s"
"1783_s","959_s"
"1784_s","1784_s"
"1784_s","1177_s"
"1785_s","1785_s"
"1785_s","1177_s"
"1785_s","1794_s"
"1786_s","1786_s"
"1786_s","1177_s"
"1580_s","1580_s"
"1580_s","1579_s"
"1516_s","1516_s"
"1516_s","1517_s"
"1522_s","1522_s"
"1522_s","1517_s"
"22_s","22_s"
"22_s","92_s"
"44_s","44_s"
"44_s","92_s"
"73_s","73_s"
"73_s","92_s"
"76_s","76_s"
"76_s","92_s"
"76_s","27_s"
"79_s","79_s"
"79_s","92_s"
"89_s","89_s"
"89_s","92_s"
"161_s","161_s"
"161_s","122_s"
"507_s","507_s"
"507_s","500_s"
"649_s","649_s"
"649_s","638_s"
"649_s","428_s"
"652_s","652_s"
"652_s","638_s"
"700_s","700_s"
"700_s","707_s"
"789_s","789_s"
"789_s","787_s"
"771_s","771_s"
"771_s","875_s"
"771_s","756_s"
"883_s","883_s"
"883_s","875_s"
"899_s","899_s"
"899_s","875_s"
"904_s","904_s"
"904_s","875_s"
"908_s","908_s"
"908_s","875_s"
"908_s","932_s"
"969_s","969_s"
"969_s","875_s"
"982_s","982_s"
"982_s","875_s"
"994_s","994_s"
