"Bar_ID","Seg_1","Seg_2","Pass","nat_barrier","section1_2"
1363,"1363_s","sink",0.5,FALSE,"1363_s,sink"
1368,"1368_s","sink",0.5,FALSE,"1368_s,sink"
1371,"1371_s","sink",0,FALSE,"1371_s,sink"
1477,"1477_s","sink",0.3,FALSE,"1477_s,sink"
1478,"1478_s","sink",0.5,FALSE,"1478_s,sink"
1487,"1487_s","sink",0.5,FALSE,"1487_s,sink"
1535,"1535_s","sink",0.5,FALSE,"1535_s,sink"
1536,"1536_s","sink",0.5,FALSE,"1536_s,sink"
1342,"1342_s","1363_s",0.5,FALSE,"1342_s,1363_s"
1450,"1450_s","1477_s",0.5,FALSE,"1450_s,1477_s"
1455,"1455_s","1477_s",0.5,FALSE,"1455_s,1477_s"
1459,"1459_s","1477_s",0.5,FALSE,"1459_s,1477_s"
1463,"1463_s","1477_s",0.5,FALSE,"1463_s,1477_s"
1473,"1473_s","1477_s",0.5,FALSE,"1473_s,1477_s"
1373,"1373_s","1487_s",0.5,FALSE,"1373_s,1487_s"
1534,"1534_s","1535_s",0.5,FALSE,"1534_s,1535_s"
1360,"1360_s","1536_s",0.5,FALSE,"1360_s,1536_s"
1331,"1331_s","1463_s",0.5,FALSE,"1331_s,1463_s"
1344,"1344_s","1463_s",0.5,FALSE,"1344_s,1463_s"
1384,"1384_s","1463_s",0.5,FALSE,"1384_s,1463_s"
1409,"1409_s","1463_s",0.5,FALSE,"1409_s,1463_s"
1414,"1414_s","1463_s",0,FALSE,"1414_s,1463_s"
1427,"1427_s","1463_s",0.5,FALSE,"1427_s,1463_s"
1492,"1492_s","1463_s",0.5,FALSE,"1492_s,1463_s"
1494,"1494_s","1463_s",0.5,FALSE,"1494_s,1463_s"
1531,"1531_s","1534_s",0.5,FALSE,"1531_s,1534_s"
1428,"1428_s","1427_s",0,FALSE,"1428_s,1427_s"
1398,"1398_s","1494_s",0.5,FALSE,"1398_s,1494_s"
1403,"1403_s","1494_s",0.5,FALSE,"1403_s,1494_s"
1557,"1557_s","1494_s",0.5,FALSE,"1557_s,1494_s"
1533,"1533_s","1531_s",0.5,FALSE,"1533_s,1531_s"
