"start","end","path2","barrier_id","pathway_pass","start_section_length","finish_section_length"
"4_s","4_s","4_s","NA",1,48203.8,48203.8
"4_s","12_s","4_s,12_s","12",0,48203.8,2235.09
"4_s","36_s","4_s,36_s","36",0,48203.8,1165.53
"4_s","134_s","4_s,134_s","134",0,48203.8,571.88
"4_s","137_s","4_s,137_s","137",0,48203.8,710.89
"4_s","145_s","4_s,145_s","145",0,48203.8,2136.85
"4_s","169_s","4_s,169_s","169",0,48203.8,55424.98
"4_s","132_s","4_s,134_s,132_s","134,132",0,48203.8,57.56
"4_s","194_s","4_s,169_s,194_s","169,194",0,48203.8,88.77
"4_s","sink","4_s,sink","4",0,48203.8,586.73
"12_s","4_s","12_s,4_s","12",0,2235.09,48203.8
"12_s","12_s","12_s","NA",1,2235.09,2235.09
"12_s","36_s","12_s,4_s,36_s","12,36",0,2235.09,1165.53
"12_s","134_s","12_s,4_s,134_s","12,134",0,2235.09,571.88
"12_s","137_s","12_s,4_s,137_s","12,137",0,2235.09,710.89
"12_s","145_s","12_s,4_s,145_s","12,145",0,2235.09,2136.85
"12_s","169_s","12_s,4_s,169_s","12,169",0,2235.09,55424.98
"12_s","132_s","12_s,4_s,134_s,132_s","12,134,132",0,2235.09,57.56
"12_s","194_s","12_s,4_s,169_s,194_s","12,169,194",0,2235.09,88.77
"12_s","sink","12_s,4_s,sink","12,4",0,2235.09,586.73
"36_s","4_s","36_s,4_s","36",0,1165.53,48203.8
"36_s","12_s","36_s,4_s,12_s","36,12",0,1165.53,2235.09
"36_s","36_s","36_s","NA",1,1165.53,1165.53
"36_s","134_s","36_s,4_s,134_s","36,134",0,1165.53,571.88
"36_s","137_s","36_s,4_s,137_s","36,137",0,1165.53,710.89
"36_s","145_s","36_s,4_s,145_s","36,145",0,1165.53,2136.85
"36_s","169_s","36_s,4_s,169_s","36,169",0,1165.53,55424.98
"36_s","132_s","36_s,4_s,134_s,132_s","36,134,132",0,1165.53,57.56
"36_s","194_s","36_s,4_s,169_s,194_s","36,169,194",0,1165.53,88.77
"36_s","sink","36_s,4_s,sink","36,4",0,1165.53,586.73
"134_s","4_s","134_s,4_s","134",0,571.88,48203.8
"134_s","12_s","134_s,4_s,12_s","134,12",0,571.88,2235.09
"134_s","36_s","134_s,4_s,36_s","134,36",0,571.88,1165.53
"134_s","134_s","134_s","NA",1,571.88,571.88
"134_s","137_s","134_s,4_s,137_s","134,137",0,571.88,710.89
"134_s","145_s","134_s,4_s,145_s","134,145",0,571.88,2136.85
"134_s","169_s","134_s,4_s,169_s","134,169",0,571.88,55424.98
"134_s","132_s","134_s,132_s","132",0,571.88,57.56
"134_s","194_s","134_s,4_s,169_s,194_s","134,169,194",0,571.88,88.77
"134_s","sink","134_s,4_s,sink","134,4",0,571.88,586.73
"137_s","4_s","137_s,4_s","137",0,710.89,48203.8
"137_s","12_s","137_s,4_s,12_s","137,12",0,710.89,2235.09
"137_s","36_s","137_s,4_s,36_s","137,36",0,710.89,1165.53
"137_s","134_s","137_s,4_s,134_s","137,134",0,710.89,571.88
"137_s","137_s","137_s","NA",1,710.89,710.89
"137_s","145_s","137_s,4_s,145_s","137,145",0,710.89,2136.85
"137_s","169_s","137_s,4_s,169_s","137,169",0,710.89,55424.98
"137_s","132_s","137_s,4_s,134_s,132_s","137,134,132",0,710.89,57.56
"137_s","194_s","137_s,4_s,169_s,194_s","137,169,194",0,710.89,88.77
"137_s","sink","137_s,4_s,sink","137,4",0,710.89,586.73
"145_s","4_s","145_s,4_s","145",0,2136.85,48203.8
"145_s","12_s","145_s,4_s,12_s","145,12",0,2136.85,2235.09
"145_s","36_s","145_s,4_s,36_s","145,36",0,2136.85,1165.53
"145_s","134_s","145_s,4_s,134_s","145,134",0,2136.85,571.88
"145_s","137_s","145_s,4_s,137_s","145,137",0,2136.85,710.89
"145_s","145_s","145_s","NA",1,2136.85,2136.85
"145_s","169_s","145_s,4_s,169_s","145,169",0,2136.85,55424.98
"145_s","132_s","145_s,4_s,134_s,132_s","145,134,132",0,2136.85,57.56
"145_s","194_s","145_s,4_s,169_s,194_s","145,169,194",0,2136.85,88.77
"145_s","sink","145_s,4_s,sink","145,4",0,2136.85,586.73
"169_s","4_s","169_s,4_s","169",0,55424.98,48203.8
"169_s","12_s","169_s,4_s,12_s","169,12",0,55424.98,2235.09
"169_s","36_s","169_s,4_s,36_s","169,36",0,55424.98,1165.53
"169_s","134_s","169_s,4_s,134_s","169,134",0,55424.98,571.88
"169_s","137_s","169_s,4_s,137_s","169,137",0,55424.98,710.89
"169_s","145_s","169_s,4_s,145_s","169,145",0,55424.98,2136.85
"169_s","169_s","169_s","NA",1,55424.98,55424.98
"169_s","132_s","169_s,4_s,134_s,132_s","169,134,132",0,55424.98,57.56
"169_s","194_s","169_s,194_s","194",0,55424.98,88.77
"169_s","sink","169_s,4_s,sink","169,4",0,55424.98,586.73
"132_s","4_s","132_s,134_s,4_s","132,134",0,57.56,48203.8
"132_s","12_s","132_s,134_s,4_s,12_s","132,134,12",0,57.56,2235.09
"132_s","36_s","132_s,134_s,4_s,36_s","132,134,36",0,57.56,1165.53
"132_s","134_s","132_s,134_s","132",0,57.56,571.88
"132_s","137_s","132_s,134_s,4_s,137_s","132,134,137",0,57.56,710.89
"132_s","145_s","132_s,134_s,4_s,145_s","132,134,145",0,57.56,2136.85
"132_s","169_s","132_s,134_s,4_s,169_s","132,134,169",0,57.56,55424.98
"132_s","132_s","132_s","NA",1,57.56,57.56
"132_s","194_s","132_s,134_s,4_s,169_s,194_s","132,134,169,194",0,57.56,88.77
"132_s","sink","132_s,134_s,4_s,sink","132,134,4",0,57.56,586.73
"194_s","4_s","194_s,169_s,4_s","194,169",0,88.77,48203.8
"194_s","12_s","194_s,169_s,4_s,12_s","194,169,12",0,88.77,2235.09
"194_s","36_s","194_s,169_s,4_s,36_s","194,169,36",0,88.77,1165.53
"194_s","134_s","194_s,169_s,4_s,134_s","194,169,134",0,88.77,571.88
"194_s","137_s","194_s,169_s,4_s,137_s","194,169,137",0,88.77,710.89
"194_s","145_s","194_s,169_s,4_s,145_s","194,169,145",0,88.77,2136.85
"194_s","169_s","194_s,169_s","194",0,88.77,55424.98
