"sections","DCI_as"
"38_s",22.31
"57_s",23.18
"61_s",23.4
"63_s",16.39
"76_s",24.42
"78_s",23.17
"74_s",16.09
"14_s",24.84
"94_s",22.74
"16_s",24.08
"20_s",3.82
"23_s",25.25
"95_s",22.25
"19_s",3.15
"24_s",25.45
"100_s",18.28
"18_s",2.89
"25_s",25.67
"101_s",18.86
"31_s",25.81
"156_s",0.25
"160_s",2.92
"104_s",16.43
"114_s",19.03
"27_s",26.25
"147_s",2.94
"167_s",2.75
"115_s",19.2
"132_s",26.18
"135_s",25.84
"176_s",2.95
"170_s",2.61
"119_s",18.52
"122_s",19.47
"141_s",26
"138_s",25.64
"200_s",2.93
"203_s",2.45
"180_s",0.28
"183_s",0.46
"230_s",18.17
"243_s",19.6
"196_s",25.93
"300_s",22.64
"209_s",2.04
"211_s",2.85
"233_s",16.82
"267_s",19.72
"273_s",14.77
"278_s",19.28
"214_s",25.88
"305_s",21.65
"473_s",19.71
"468_s",1.23
"281_s",0.01
"285_s",18.58
"220_s",25.23
"225_s",25.63
"349_s",22.28
"365_s",20.35
"419_s",25.46
"309_s",21.09
"314_s",16.89
"524_s",19.76
"280_s",0.3
"441_s",17.49
"296_s",2.53
"327_s",21.54
"332_s",0.02
"350_s",0.39
"486_s",19.07
"424_s",14.55
"427_s",18.55
"432_s",24.96
"436_s",22.14
"372_s",18.33
"376_s",5.61
"385_s",5.87
"388_s",14.84
"520_s",0.13
"536_s",19.71
"289_s",0.23
"448_s",17.05
"295_s",1.26
"330_s",12.27
"333_s",1.56
"356_s",0.34
"361_s",0.42
"489_s",17.87
"501_s",0.72
"484_s",2.69
"428_s",0.1
"493_s",0.11
"435_s",0.24
"383_s",0.31
"565_s",1.86
"389_s",0.65
"498_s",0.31
"622_s",19.68
"626_s",0
"652_s",0.37
"657_s",0
"290_s",0.58
"450_s",11.23
"454_s",16.04
"394_s",0.39
"406_s",13.04
"502_s",0.75
"510_s",2.36
"561_s",0.26
"567_s",0.08
"398_s",0.79
"606_s",19.57
"611_s",7.68
"619_s",1.49
"627_s",0.24
"653_s",0.15
"658_s",0.27
"444_s",0.58
"463_s",0.31
"456_s",14.42
"459_s",17.39
"405_s",0.28
"508_s",0.7
"511_s",0.19
"633_s",19.38
"612_s",0.42
"660_s",0.06
"464_s",0.57
"539_s",16.81
"549_s",16.46
"757_s",17.46
"760_s",16.54
"575_s",0.19
"579_s",16.87
"587_s",0.47
"637_s",19.25
"676_s",18.44
"661_s",0.05
"731_s",0.54
"530_s",0.16
"544_s",16.52
"557_s",14.79
"769_s",17.34
"783_s",1.07
"786_s",17.2
"764_s",16.31
"574_s",0.31
"578_s",0.26
"586_s",0.49
"639_s",19.03
"663_s",0.04
"531_s",0.16
"548_s",16.02
"823_s",6.07
"772_s",17.24
"802_s",17.04
"826_s",0.16
"832_s",11.49
"737_s",16.02
"741_s",8.81
"679_s",18.8
"665_s",0.39
"554_s",15.5
"825_s",0.44
"779_s",0.55
"791_s",17.19
"837_s",16.4
"843_s",0
"833_s",0.49
"747_s",10.83
"683_s",18.6
"551_s",7.83
"828_s",0.1
"810_s",5.1
"818_s",0.5
"853_s",16.76
"856_s",11.59
"846_s",1.84
"647_s",0.71
"692_s",18.23
"829_s",0.45
"809_s",0.16
"817_s",0.27
"865_s",16.03
"871_s",12.64
"877_s",1.84
"884_s",12.48
"646_s",0.73
"712_s",17.76
"819_s",0.27
"868_s",15.76
"881_s",12.11
"878_s",1.9
"887_s",12.16
"713_s",1.16
"909_s",14.64
"925_s",2.01
"917_s",11.25
"906_s",14.37
"928_s",2.01
"903_s",12.12
"939_s",0.16
"950_s",1.97
"957_s",1.94
"912_s",11.37
"940_s",0.17
"953_s",1.93
"960_s",1.92
"916_s",8.7
"sink",22.1
