"sections","DCI_as"
"1_s",98.87
"101_s",86.93
"100_s",70.15
"103_s",99.23
"107_s",99.05
"110_s",99.99
"111_s",99.99
"104_s",98.5
"105_s",99.63
"108_s",99.6
"109_s",98.31
"114_s",99.26
"113_s",98.11
"128_s",98.93
"115_s",98.22
"161_s",97.81
"116_s",98.63
"118_s",99.5
"164_s",96.7
"14_s",99.49
"15_s",100.01
"12_s",100
"120_s",98.45
"125_s",99.24
"131_s",100.01
"172_s",99.49
"130_s",96.78
"162_s",94.74
"133_s",100
"138_s",99.75
"65_s",99.99
"135_s",99.99
"62_s",97.15
"141_s",99.92
"142_s",99.94
"136_s",99.48
"66_s",99.75
"139_s",100.01
"23_s",98.53
"149_s",95.75
"151_s",98.25
"145_s",76.87
"146_s",67.42
"147_s",62.4
"148_s",64.45
"155_s",41.85
"233_s",71.17
"17_s",99.99
"18_s",99.28
"152_s",88.75
"153_s",85.64
"154_s",87.31
"160_s",91.21
"157_s",70.41
"158_s",95.1
"236_s",96.23
"159_s",92.8
"254_s",91.67
"237_s",97.43
"163_s",99.48
"168_s",100
"173_s",100
"166_s",92.39
"167_s",93.22
"258_s",82.27
"259_s",97
"170_s",98.55
"263_s",96.39
"171_s",4.25
"392_s",99.5
"174_s",75
"175_s",48.14
"195_s",78.61
"176_s",98
"178_s",95.75
"177_s",97.83
"242_s",97.45
"196_s",95.3
"19_s",98.54
"183_s",100
"184_s",100.01
"194_s",99.99
"203_s",75.16
"4_s",99.26
"193_s",100
"198_s",99.99
"197_s",94.62
"201_s",95.67
"280_s",89.17
"200_s",100
"207_s",89.18
"2_s",99.43
"20_s",96
"21_s",91.67
"205_s",98.96
"202_s",75.64
"318_s",99.99
"319_s",99.99
"204_s",45.77
"206_s",99.99
"216_s",99.98
"209_s",82.47
"210_s",71.64
"211_s",82.05
"22_s",92.26
"213_s",3.48
"221_s",87.47
"229_s",84.31
"214_s",12.22
"215_s",67.98
"231_s",84.15
"339_s",84.15
"217_s",100
"218_s",100
"36_s",91.19
"220_s",91.12
"224_s",95.99
"226_s",92.74
"223_s",81.46
"337_s",51.62
"225_s",91.8
"227_s",84.7
"330_s",92.37
"228_s",86.15
"333_s",85.13
"338_s",95.1
"230_s",26.61
"24_s",97.51
"232_s",65.33
"234_s",90.33
"244_s",91.25
"235_s",90.09
"248_s",87.32
"239_s",93
"241_s",99.99
"262_s",98.25
"240_s",89.45
"25_s",96.95
"243_s",93.83
"245_s",94.03
"246_s",94.62
"247_s",90.94
"281_s",96.07
"251_s",94.03
"249_s",85
"250_s",78.65
"26_s",96.98
"252_s",67.69
"255_s",91.3
"253_s",32.38
"282_s",94.95
"261_s",86.19
"266_s",96.72
"268_s",98.5
"27_s",97.07
"270_s",91.8
"264_s",70.13
"265_s",91.23
"394_s",84
"267_s",97.05
"273_s",99.38
"301_s",97
"28_s",97.95
"271_s",84.76
"272_s",90.09
"292_s",83
"294_s",96.08
"274_s",99.39
"275_s",99.95
"276_s",99.32
"278_s",88.94
"277_s",0.1
"279_s",27.34
"37_s",96.76
"285_s",97.91
"288_s",94.46
"283_s",90.82
"289_s",95.5
"284_s",79.85
"291_s",84.89
"286_s",98.32
"287_s",99.87
"375_s",99.86
"373_s",100.01
"374_s",99.99
"290_s",76.7
"376_s",91
"34_s",99.87
"31_s",100
"29_s",92.85
"381_s",97.75
"297_s",99.99
"298_s",98.69
"295_s",99.6
"300_s",99.48
"296_s",100
"313_s",100
"310_s",95.93
"314_s",97.92
"3_s",99.77
"304_s",91.73
"305_s",72.41
"302_s",90.54
"306_s",96.31
"412_s",13.56
"316_s",99.28
"317_s",99.28
"33_s",100
"35_s",99.47
"311_s",95.77
"312_s",96.01
"315_s",96.01
"320_s",35.72
"321_s",85.9
"322_s",74.26
"324_s",54.67
"323_s",80.2
"325_s",99.99
"326_s",69
"327_s",84.22
"329_s",97.19
"331_s",96.91
"342_s",97.92
"334_s",96.33
"335_s",77.67
"343_s",91.74
"336_s",82.12
"344_s",91.67
"340_s",99.25
"341_s",98
"345_s",92.18
"379_s",95.16
"355_s",97.87
"348_s",100
"365_s",86.35
"346_s",88.57
"347_s",87.25
"369_s",89.3
"350_s",88.53
"349_s",98.65
"71_s",99.42
"351_s",99.99
"352_s",99.42
"357_s",99.07
