NodeType,NodeEID,NodeLabel,HabQuantity,HabUnits,BarrierPerm,NaturalTF,DownstreamEID,DownstreamNodeLabel,DownstreamNeighDistance,DistanceUnits
Barrier,267,300035,169.95,Metres,1,F,Sink,Sink,169.95,Metres
Branch Junction,265,1373,21.87,Metres,1,F,267,300035,21.87,Metres
Branch Junction,263,1372,96.2,Metres,1,F,265,1373,96.2,Metres
Branch Junction,264,1370,93.11,Metres,1,F,265,1373,93.11,Metres
Barrier,248,300036,1632.14,Metres,1,F,263,1372,1632.14,Metres
Source Junction,259,1366,307.31,Metres,1,F,263,1372,307.31,Metres
Source Junction,260,1367,82.37,Metres,1,F,264,1370,82.37,Metres
Source Junction,261,1369,61.22,Metres,1,F,264,1370,61.22,Metres
Barrier,253,300019,556.14,Metres,1,F,248,300036,556.14,Metres
Barrier,17,300087,1813.82,Metres,1,F,253,300019,1813.82,Metres
Barrier,20,300056,111.51,Metres,1,F,17,300087,111.51,Metres
Barrier,21,300076,10.39,Metres,1,F,20,300056,10.39,Metres
Barrier,22,300197,17.34,Metres,1,F,21,300076,17.34,Metres
Barrier,24,300126,6.74,Metres,1,F,22,300197,6.74,Metres
Barrier,37,300123,428.94,Metres,1,F,24,300126,428.94,Metres
Branch Junction,35,1165,408.78,Metres,1,F,37,300123,408.78,Metres
Barrier,29,300150,243.61,Metres,1,F,35,1165,243.61,Metres
Barrier,61,300028,343.13,Metres,1,F,35,1165,343.13,Metres
Barrier,26,300119,264.53,Metres,1,F,29,300150,264.53,Metres
Barrier,63,300021,406.15,Metres,1,F,61,300028,406.15,Metres
Barrier,10,300183,285.94,Metres,1,F,26,300119,285.94,Metres
Barrier,64,300071,419.55,Metres,1,F,63,300021,419.55,Metres
Barrier,2,300140,586.04,Metres,1,F,10,300183,586.04,Metres
Barrier,65,300050,120.8,Metres,1,F,64,300071,120.8,Metres
Barrier,7,300099,280.72,Metres,1,F,2,300140,280.72,Metres
Barrier,69,300104,638.17,Metres,1,F,65,300050,638.17,Metres
Barrier,6,300077,13.64,Metres,1,F,7,300099,13.64,Metres
Branch Junction,67,1014,271.32,Metres,1,F,69,300104,271.32,Metres
Barrier,54,300152,396.07,Metres,1,F,6,300077,396.07,Metres
Source Junction,66,1007,61.33,Metres,1,F,67,1014,61.33,Metres
Barrier,132,300074,1357.63,Metres,1,F,67,1014,1357.63,Metres
Barrier,57,300200,313.22,Metres,1,F,54,300152,313.22,Metres
Branch Junction,133,875,1213.51,Metres,1,F,132,300074,1213.51,Metres
Barrier,56,300058,4.27,Metres,1,F,57,300200,4.27,Metres
Source Junction,99,847,371.4,Metres,1,F,133,875,371.4,Metres
Barrier,130,300022,1515.69,Metres,1,F,133,875,1515.69,Metres
Barrier,41,300109,266.62,Metres,1,F,56,300058,266.62,Metres
Branch Junction,149,721,384.02,Metres,1,F,130,300022,384.02,Metres
Barrier,42,300090,20.58,Metres,1,F,41,300109,20.58,Metres
Branch Junction,150,684,1449.93,Metres,1,F,149,721,1449.93,Metres
Barrier,195,300027,1435.35,Metres,1,F,149,721,1435.35,Metres
Branch Junction,44,812,74.08,Metres,1,F,42,300090,74.08,Metres
Branch Junction,147,615,921.2,Metres,1,F,150,684,921.2,Metres
Barrier,155,300062,464.98,Metres,1,F,150,684,464.98,Metres
Branch Junction,199,918,620.71,Metres,1,F,195,300027,620.71,Metres
Source Junction,43,805,91.62,Metres,1,F,44,812,91.62,Metres
Barrier,47,300136,678.86,Metres,1,F,44,812,678.86,Metres
Branch Junction,148,580,211.03,Metres,1,F,147,615,211.03,Metres
Branch Junction,164,623,344.43,Metres,1,F,147,615,344.43,Metres
Barrier,156,300068,225.13,Metres,1,F,155,300062,225.13,Metres
Barrier,212,100005,558.73,Metres,1,F,199,918,558.73,Metres
Branch Junction,217,997,404.47,Metres,1,F,199,918,404.47,Metres
Barrier,51,100001,1436.97,Metres,0,F,47,300136,1436.97,Metres
Barrier,145,100004,165.56,Metres,0,F,148,580,165.56,Metres
Barrier,158,300103,603.64,Metres,1,F,148,580,603.64,Metres
Barrier,166,300081,286.87,Metres,1,F,164,623,286.87,Metres
Barrier,176,300054,210.19,Metres,0,F,164,623,210.19,Metres
Source Junction,157,769,28.11,Metres,1,F,156,300068,28.11,Metres
Barrier,180,400002,7.42,Metres,0,F,212,100005,7.42,Metres
Barrier,200,300101,351.27,Metres,1,F,217,997,351.27,Metres
Barrier,216,300187,252.84,Metres,1,F,217,997,252.84,Metres
Barrier,50,300070,48.13,Metres,1,F,51,100001,48.13,Metres
Source Junction,143,508,205.12,Metres,1,F,145,100004,205.12,Metres
Branch Junction,163,548,94.89,Metres,1,F,158,300103,94.89,Metres
Branch Junction,171,570,1409.59,Metres,1,F,166,300081,1409.59,Metres
Source Junction,177,640,2.08,Metres,1,F,176,300054,2.08,Metres
Branch Junction,181,804,530.74,Metres,1,F,180,400002,530.74,Metres
Branch Junction,204,1107,467.64,Metres,1,F,200,300101,467.64,Metres
Branch Junction,218,964,633.15,Metres,1,F,216,300187,633.15,Metres
Branch Junction,48,663,18.83,Metres,1,F,50,300070,18.83,Metres
Branch Junction,70,422,2206.41,Metres,1,F,163,548,2206.41,Metres
Source Junction,467,467,1684.97,Metres,1,F,163,548,1684.97,Metres
Barrier,474,300107,489.68,Metres,1,F,171,570,489.68,Metres
Barrier,482,300033,1398.82,Metres,1,F,171,570,1398.82,Metres
Barrier,183,300073,521.51,Metres,1,F,181,804,521.51,Metres
Barrier,191,300069,690.76,Metres,1,F,181,804,690.76,Metres
Barrier,203,300042,353.53,Metres,1,F,204,1107,353.53,Metres
Barrier,205,300030,85.81,Metres,1,F,204,1107,85.81,Metres
Barrier,219,300118,50.99,Metres,1,F,218,964,50.99,Metres
Barrier,221,300029,157.62,Metres,1,F,218,964,157.62,Metres
Barrier,52,300013,156.52,Metres,1,F,48,663,156.52,Metres
Barrier,82,100002,332.43,Metres,0,F,48,663,332.43,Metres
Branch Junction,312,386,398.45,Metres,1,F,70,422,398.45,Metres
