ObID,BarrierOrFlagID,Downstream_Barrier,BarrierOrFlagLabel,Downstream_BarrierLabel
1,14,Sink,300101,Sink
2,18,Sink,300055,Sink
3,23,14,300009,300101
4,19,18,300036,300055
5,24,23,300056,300009
6,6,19,300066,300036
7,20,19,300067,300036
8,25,24,300090,300056
9,7,6,10148,300066
10,21,20,300117,300067
11,26,25,300140,300090
12,8,7,300135,10148
13,22,21,300022,300117
14,27,26,300141,300140
15,9,8,300037,300135
16,28,27,300139,300141
17,2,9,300106,300037
18,35,9,300084,300037
19,37,28,300114,300139
20,72,35,300075,300084
21,73,35,300076,300084
22,78,35,300063,300084
23,41,37,300068,300114
24,42,37,300069,300114
25,52,37,300107,300114
26,89,72,300082,300075
27,93,72,300005,300075
28,86,73,300058,300076
29,62,78,300136,300063
30,84,78,300030,300063
31,138,78,300026,300063
32,45,41,300131,300068
33,43,42,300034,300069
34,51,52,300132,300107
35,90,89,300094,300082
36,94,93,300008,300005
37,64,62,300113,300136
38,149,84,300116,300030
39,151,84,300092,300030
40,67,138,10147,300026
41,174,138,10146,300026
42,46,45,300028,300131
43,44,43,300018,300034
44,55,51,300123,300132
45,97,90,300040,300094
46,115,90,300041,300094
47,120,90,300049,300094
48,130,90,300121,300094
49,145,149,300124,300116
50,152,151,300073,300092
51,232,67,300039,10147
52,175,174,300001,10146
53,47,46,300027,300028
54,48,44,300077,300018
55,99,55,300081,300123
56,166,97,300064,300040
57,167,97,300020,300040
58,172,120,300046,300049
59,162,130,300047,300121
60,147,145,300134,300124
61,148,145,300133,300124
62,153,152,300137,300073
63,176,232,300038,300039
64,242,232,300007,300039
65,203,175,10152,300001
66,209,175,300078,300001
67,210,175,10153,300001
68,49,47,300119,300027
69,59,48,300070,300077
70,100,99,300093,300081
71,258,166,300087,300064
72,266,167,300128,300020
73,268,167,300129,300020
74,393,172,300031,300046
75,170,162,400001,300047
76,263,162,300003,300047
77,155,147,300085,300134
78,233,148,300102,300133
79,154,153,300024,300137
80,178,176,300062,300038
81,204,203,300002,10152
82,223,209,300054,300078
83,226,209,10149,300078
84,229,209,300053,300078
85,213,210,300004,10153
86,105,100,300089,300093
87,108,100,300050,300093
88,265,266,300130,300128
89,276,266,400002,300128
90,278,266,300045,300128
91,395,393,300059,300031
92,158,155,300060,300085
93,236,155,300000,300085
94,234,233,300072,300102
95,160,154,300122,300024
96,197,178,300111,300062
97,201,178,300112,300062
98,227,226,300051,10149
99,330,226,300033,10149
100,214,213,300052,300004
101,304,395,300043,300059
102,305,395,300042,300059
103,406,395,10150,300059
104,159,158,300120,300060
105,239,236,300083,300000
106,245,234,300065,300072
107,246,234,300142,300072
108,262,160,300086,300122
109,333,227,300105,300051
110,340,227,300021,300051
111,341,227,300006,300051
112,322,330,300016,300033
113,323,330,300011,300033
114,326,330,300013,300033
115,334,330,300096,300033
116,412,305,300044,300042
117,407,406,400003,10150
118,240,239,300025,300083
119,247,245,300091,300065
120,285,246,300127,300142
121,288,246,300126,300142
122,271,262,300103,300086
123,272,262,300104,300086
124,335,333,300048,300105
125,345,340,300110,300021
126,379,341,300118,300006
127,343,334,300095,300096
128,415,407,300010,400003
129,235,240,300074,300025
130,251,247,300032,300091
131,310,271,300097,300103
132,336,335,300029,300048
133,346,345,300109,300110
134,383,379,300079,300118
135,354,343,300012,300095
136,416,415,300061,300010
137,248,235,300035,300074
138,255,251,300023,300032
139,365,336,300057,300029
140,347,346,300108,300109
141,349,383,300080,300079
142,357,354,300017,300012
143,249,248,300019,300035
144,283,255,300098,300023
145,289,255,300125,300023
146,369,347,300115,300108
147,359,357,300015,300017
148,250,249,300100,300019
149,284,283,300138,300098
150,360,359,300014,300015
151,252,250,300099,300100
152,291,284,300088,300138
153,363,360,300071,300014
