sections,DCI_as
2_s,74.6
10_s,77.69
998_s,19.17
1000_s,17.32
1010_s,20.19
1001_s,19.87
1002_s,87.66
1035_s,87.77
1039_s,87.69
1004_s,52.76
1003_s,51.68
995_s,53.89
1006_s,53.54
1019_s,54.13
1014_s,54.08
996_s,54.54
1011_s,22.32
1027_s,22.56
1016_s,54.84
1017_s,55.07
1018_s,55.62
1021_s,55.61
1020_s,23.38
1025_s,22.97
1044_s,23.52
1045_s,87.84
1049_s,87.85
1046_s,87.65
104_s,45.06
1043_s,39.15
1053_s,87.91
105_s,48.85
137_s,50.84
1054_s,87.87
1056_s,97.98
1108_s,99.67
1058_s,92.43
1060_s,99.55
1062_s,99.57
1070_s,99.82
1068_s,77.34
1065_s,75.05
1075_s,79.06
1109_s,99.94
1117_s,99.94
1076_s,76.02
1077_s,73.15
1078_s,72.95
1083_s,73.39
1079_s,73.07
1081_s,72.93
1090_s,72.8
1085_s,75.92
1104_s,76.27
1105_s,76.06
109_s,46.25
111_s,48.46
113_s,48.47
1092_s,72.68
1099_s,73.23
1097_s,72.35
1103_s,71.71
1102_s,73.95
110_s,48.75
1132_s,75.97
1139_s,74.55
1106_s,71.04
1138_s,71.68
1107_s,70.43
1141_s,70.88
1142_s,69.54
1150_s,70.47
1111_s,100.02
1115_s,99.99
1110_s,99.99
1126_s,100
1118_s,100.01
1120_s,87.69
1301_s,87.44
1128_s,99.99
1303_s,100
114_s,48.81
1133_s,78.19
1137_s,78.78
1136_s,79.7000000000001
1305_s,80.31
1310_s,80.31
1314_s,79.61
1140_s,75.12
1170_s,75.77
116_s,49
1156_s,75.63
1157_s,75.3
1145_s,68.81
1148_s,68.79
1144_s,68.68
1153_s,68.69
1154_s,68.35
1151_s,68.71
1241_s,68.41
1352_s,17.12
1158_s,75.69
1160_s,75.66
124_s,50.39
138_s,50.25
1161_s,75.9
1162_s,75.96
1333_s,76.21
1336_s,76
1168_s,75.9700000000001
1169_s,76.08
1167_s,76.09
1338_s,76.3
1172_s,76.47
1346_s,76.63
1174_s,0.17
1175_s,75.0499999999999
1176_s,75.9
1177_s,76.09
1215_s,76.5900000000001
1184_s,76.15
1187_s,75.98
1180_s,5.92
1181_s,10.78
1218_s,13.57
1219_s,12.72
1191_s,76.0000000000001
1196_s,75.87
1194_s,76.15
1197_s,6.26
1198_s,6.28
1201_s,6.47
1242_s,6.48
1202_s,6.71
1243_s,6.8
1211_s,6.92
1244_s,6.88
1209_s,0.4
1216_s,77.72
1266_s,78.36
1248_s,15.82
1276_s,16.11
1221_s,67.72
1223_s,88.4
1225_s,98.83
1573_s,99.06
1557_s,98.67
126_s,52.46
140_s,52.64
1245_s,68.31
1247_s,67.78
1246_s,66.99
1256_s,66.6000000000001
1259_s,65.3
1257_s,67.13
1249_s,16.03
1273_s,16.11
1252_s,16.38
1253_s,2.52
1258_s,66.98
1263_s,66.96
1260_s,63.71
1400_s,63.41
1397_s,18.46
1265_s,1.39
1269_s,1.4
1270_s,1.42
1267_s,79.1
1268_s,79.19
1271_s,79.4
1281_s,79.31
1278_s,16.98
1283_s,62.53
1284_s,0.8
130_s,83.03
149_s,78.6900000000001
1358_s,87.12
1307_s,80.89
1318_s,81.7700000000001
1321_s,81.89
1312_s,80.81
1317_s,81.06
1325_s,81.69
132_s,90.69
133_s,88.75
1322_s,83.1
1363_s,84.4200000000001
1328_s,83.81
1331_s,84.02
99_s,87.3499999999999
1367_s,85.3
1368_s,85.95
1341_s,6.26
1339_s,76.55
1340_s,76.63
1343_s,6.43
1372_s,6.85
1345_s,6.59
1347_s,6.7
1350_s,2.22
1348_s,2.24
1356_s,2.31
1351_s,21.06
1354_s,21.32
1357_s,22.78
1383_s,25.59
1421_s,24.46
1369_s,30.92
1377_s,28.76
1380_s,28.84
1384_s,27.64
1385_s,27.91
1386_s,28.72
1387_s,29.07
1390_s,29.59
1392_s,29.63
1388_s,30.02
1393_s,30.54
1389_s,30.41
1391_s,30.28
1411_s,20.69
1418_s,21.19
141_s,54.64
142_s,55.26
1403_s,63.16
1405_s,63.05
1404_s,63.13
1406_s,62.48
1407_s,62.48
1408_s,0.8
1420_s,22.04
1423_s,22.54
1425_s,22.68
1422_s,25.32
1470_s,25.35
1424_s,25.4
1473_s,24.16
1426_s,23.68
1432_s,24.29
1437_s,24.46
143_s,0.7
1434_s,24.87
1439_s,25.21
1440_s,25.7
1445_s,25.67
1458_s,26.23
1487_s,26.58
1485_s,27.07
145_s,90.07
147_s,87.28
148_s,89.54
164_s,89.22
1471_s,25.86
1472_s,26.11
1474_s,25.39
1477_s,25.68
1478_s,25.95
1481_s,26.4
1480_s,26.42
1479_s,26.98
158_s,90.96
1482_s,27.02
1489_s,2.63
195_s,71.92
150_s,81.5800000000001
1492_s,100.01
155_s,85.88
1503_s,99.99
156_s,86.71
157_s,87
1590_s,99.98
1592_s,99.98
1596_s,100
163_s,92.25
70_s,94.0000000000001
467_s,93.06
166_s,89.48
176_s,89.5500000000001
