sections,DCI_as
2_s,69.69
10_s,70.87
998_s,9.5
1000_s,8.52
1010_s,9.82
1001_s,9.65
1002_s,90.67
1035_s,89.3600000000001
1039_s,89.5300000000001
1004_s,26.69
1003_s,26.28
995_s,27.62
1006_s,27.29
1019_s,27.78
1014_s,27.51
996_s,27.87
1011_s,10.57
1027_s,10.65
1016_s,28.21
1017_s,28.47
1018_s,28.58
1021_s,28.56
1020_s,10.96
1025_s,10.71
1044_s,11.1
1045_s,88.47
1049_s,88.38
1046_s,88.87
104_s,29.89
1043_s,16.42
1053_s,87.66
105_s,30.6
137_s,32.8
1054_s,87.65
1056_s,92.27
1108_s,97.73
1058_s,94.74
1060_s,96.53
1062_s,96.84
1070_s,97.54
1068_s,64.5
1065_s,62.42
1075_s,64.65
1109_s,99.31
1117_s,99.36
1076_s,61.13
1077_s,62.31
1078_s,63.93
1083_s,64.23
1079_s,63.99
1081_s,64.11
1090_s,64.98
1085_s,71.62
1104_s,72.17
1105_s,72
109_s,29.97
111_s,30.52
113_s,30.49
1092_s,64.92
1099_s,64.9900000000001
1097_s,64.93
1103_s,65.46
1102_s,65.52
110_s,30.54
1132_s,67.3600000000001
1139_s,66
1106_s,65.56
1138_s,65.91
1107_s,65.7
1141_s,66.02
1142_s,67.0900000000001
1150_s,67.88
1111_s,100.02
1115_s,100.02
1110_s,100.01
1126_s,100
1118_s,100.02
1120_s,91.69
1301_s,90.76
1128_s,100.01
1303_s,99.99
114_s,30.5
1133_s,69.43
1137_s,69.58
1136_s,69.96
1305_s,70.15
1310_s,70.27
1314_s,69.97
1140_s,66.55
1170_s,67.98
116_s,30.59
1156_s,68.01
1157_s,67.3600000000001
1145_s,67.2
1148_s,67.37
1144_s,67.47
1153_s,68.1900000000001
1154_s,68.02
1151_s,67.95
1241_s,68.08
1352_s,9.48
1158_s,67.86
1160_s,68.02
124_s,31.37
138_s,31.76
1161_s,69.4900000000001
1162_s,69.4400000000001
1333_s,69.59
1336_s,69.7
1168_s,69.45
1169_s,69.5
1167_s,69.47
1338_s,69.58
1172_s,69.59
1346_s,69.8
1174_s,0.07
1175_s,67.38
1176_s,72.17
1177_s,72.36
1215_s,71.81
1184_s,73.23
1187_s,73.31
1180_s,2.3
1181_s,4.4
1218_s,5.07
1219_s,4.87
1191_s,74.14
1196_s,74
1194_s,73.54
1197_s,2.43
1198_s,2.43
1201_s,2.53
1242_s,2.57
1202_s,2.54
1243_s,2.59
1211_s,2.64
1244_s,2.63
1209_s,0.15
1216_s,73.98
1266_s,74.06
1248_s,5.79
1276_s,5.91
1221_s,48.29
1223_s,64.74
1225_s,89.45
1573_s,89.27
1557_s,88.51
126_s,33.15
140_s,33.08
1245_s,68.88
1247_s,69.1
1246_s,69.59
1256_s,69.77
1259_s,70.68
1257_s,69.68
1249_s,5.88
1273_s,5.9
1252_s,6.04
1253_s,0.86
1258_s,69.97
1263_s,70.04
1260_s,72.6
1400_s,72.71
1397_s,9.59
1265_s,0.63
1269_s,0.63
1270_s,0.64
1267_s,73.52
1268_s,73.81
1271_s,73.76
1281_s,73.7
1278_s,6.25
1283_s,71.26
1284_s,0.35
130_s,71
149_s,67.93
1358_s,89.3800000000001
1307_s,70.96
1318_s,71.55
1321_s,71.58
1312_s,70.75
1317_s,71.05
1325_s,71.13
132_s,76.84
133_s,75.24
1322_s,72.39
1363_s,71.7
1328_s,71.79
1331_s,71.58
99_s,74.91
1367_s,70.88
1368_s,71.29
1341_s,2.63
1339_s,69.79
1340_s,69.93
1343_s,2.67
1372_s,2.84
1345_s,2.72
1347_s,2.79
1350_s,0.86
1348_s,0.87
1356_s,0.89
1351_s,10.54
1354_s,10.57
1357_s,10.87
1383_s,11.76
1421_s,11.54
1369_s,13.05
1377_s,12.68
1380_s,12.72
1384_s,12.51
1385_s,12.56
1386_s,12.79
1387_s,12.86
1390_s,12.92
1392_s,12.94
1388_s,12.94
1393_s,13.02
1389_s,12.99
1391_s,12.97
1411_s,10.38
1418_s,10.42
141_s,34.47
142_s,35.18
1403_s,72.39
1405_s,71.94
1404_s,72.38
1406_s,71.24
1407_s,71.11
1408_s,0.36
1420_s,10.61
1423_s,10.77
1425_s,10.74
1422_s,12.07
1470_s,12.07
1424_s,11.3
1473_s,11.06
1426_s,10.96
1432_s,11.18
1437_s,11.2
143_s,0.25
1434_s,11.24
1439_s,11.24
1440_s,11.31
1445_s,11.3
1458_s,11.39
1487_s,11.44
1485_s,11.64
145_s,85.2
147_s,79.9299999999999
148_s,84.94
164_s,84.68
1471_s,11.38
1472_s,11.38
1474_s,11.26
1477_s,11.3
1478_s,11.34
1481_s,11.41
1480_s,11.41
1479_s,11.44
158_s,85.26
1482_s,11.44
1489_s,0.99
195_s,60.21
150_s,71.93
1492_s,100
155_s,77.16
1503_s,100.02
156_s,78.35
157_s,79.62
1590_s,99.99
1592_s,100.01
1596_s,100.01
163_s,86.97
70_s,85.15
467_s,88.51
166_s,84.75
176_s,84.71
171_s,86.65
20_s,70.25
17_s,73.9
474_s,85.98
482_s,86.03
177_s,0
180_s,44.63
181_s,36.75
191_s,39.39
183_s,37.59
185_s,37.37
186_s,37.08
187_s,37.79
188_s,37.86
193_s,42.61
488_s,46.94
506_s,44.64
199_s,53.12
212_s,47.33
217_s,50.88
7_s,68.29
21_s,70.62
200_s,51.48
204_s,52.6
203_s,54.42
209_s,55.07
205_s,54.28
206_s,54.94
207_s,54.91
229_s,54.91
232_s,55.95
22_s,70.61
216_s,51.32
218_s,52.31
219_s,54.91
221_s,54.9
224_s,55.11
24_s,70.65
238_s,56.55
227_s,54.9
228_s,55.08
544_s,57.51
230_s,54.98
231_s,55.06
233_s,55.99
234_s,56.44
235_s,56.41
236_s,57.65
240_s,60.65
37_s,70.93
243_s,61.09
246_s,62.03
543_s,62.94
253_s,81.54
248_s,89.04
259_s,98.34
26_s,71.7
260_s,100.01
261_s,99.98
263_s,98.23
264_s,99.77
265_s,99.73
267_s,99.83
278_s,76.49
281_s,76.4
279_s,78.62
290_s,75.43
29_s,72.22
293_s,74.51
318_s,77.43
300_s,74.14
299_s,74.42
335_s,76.47
340_s,76.61
326_s,73.07
305_s,81.99
313_s,84.08
306_s,82.2
310_s,82.97
312_s,83.88
315_s,84.68
316_s,86.74
317_s,86.1499999999999
330_s,82.73
355_s,73.66
341_s,73.48
366_s,87.25
332_s,79.64
338_s,79.6799999999999
411_s,79.91
360_s,73.91
345_s,74.04
348_s,74.09
352_s,74.1
350_s,73.94
61_s,73.08
35_s,72.18
423_s,75.61
364_s,77.92
426_s,74.05
428_s,83.03
430_s,83.19
369_s,94.05
371_s,95.09
386_s,96.82
378_s,80.52
401_s,79.67
404_s,79.99
381_s,97.95
383_s,97.9
735_s,100.01
388_s,97.04
392_s,97.3
737_s,76.42
406_s,0.01
409_s,15.52
748_s,16.09
749_s,16.21
41_s,65.99
42_s,65.97
414_s,80.36
416_s,80.06
418_s,80.07
422_s,80.13
44_s,65.89
438_s,80.81
788_s,79.83
448_s,73.67
433_s,85.57
581_s,85.18
43_s,65.77
437_s,86.33
583_s,87.01
439_s,74.13
791_s,72.8
47_s,65.16
794_s,5.21
447_s,0.3
450_s,74.31
454_s,73.9
449_s,73.97
459_s,73.84
803_s,73.51
466_s,94.6
462_s,90.52
809_s,94.99
51_s,62.07
486_s,87.71
48_s,9.33
82_s,9.51
52_s,9.42
484_s,89.12
495_s,89.26
497_s,89.82
518_s,47.78
516_s,47.97
499_s,0.06
502_s,4.18
50_s,9.28
587_s,5.12
508_s,48.03
533_s,2.81
511_s,46.97
515_s,46.97
517_s,49.72
519_s,49.42
553_s,48.91
521_s,49.79
88_s,9.53
528_s,51.1
525_s,50.29
561_s,0.49
531_s,51.59
535_s,51.76
588_s,3.03
603_s,3.28
538_s,51.71
567_s,52.85
593_s,52.29
539_s,52.01
598_s,53.11
648_s,53.62
54_s,67.66
57_s,66.3
546_s,67.27
551_s,68.1
559_s,71.68
575_s,70.71
577_s,70.5
555_s,0.67
556_s,0.7
558_s,0.7
56_s,66.29
563_s,19.73
569_s,20.87
565_s,20.67
579_s,20.78
653_s,22.31
677_s,22.57
585_s,87.96
589_s,88.85
622_s,91.5
594_s,55.71
591_s,54.67
600_s,55.65
596_s,56.81
605_s,57.39
615_s,57.64
599_s,54.47
649_s,55.13
601_s,55.14
