OID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,FID_,STREAMCODE,SITECODE,STREAMSITE,STREAMNAME,YEAR,DATE_,SAMPLE,RUN,LONGITUDE,LATITUDE,UTMX,UTMY,UTMZ,VALIDATION,CC,SITELENGTH,AVERAGEWID,AREA,USABLEAREA,NOFISH,X1,X2,X10,X11,X12,X14,X70,X73,X75,X76,X77,X78,X80,X84,X103,X131,X141,X160,X162,X163,X165,X176,X180,X181,X182,X184,X186,X189,X192,X194,X196,X197,X198,X200,X201,X203,X204,X206,X208,X209,X210,X211,X212,X214,X224,X225,X233,X235,X251,X280,X281,X311,X312,X313,X314,X316,X317,X320,X322,X330,X331,X334,X335,X337,X338,X339,X341,X342,X348,X351,X361,X366,X380,X381,X382,X999,SHANNON,BARRIERID,STREAM,STRAHLER,SHREVE,Shape_Leng,DESCR,River,FIPEX_segE,FIPEX_Subs,FIPEX_se_1,FIPEX_su_1,DCIs450mLi,DCIs5kmLi,DCIs10kmLi,DCIs10kmCu,DCIs25kmLi,DCIs25kmCu,DCIsNoDD,DCIs5kmCu,DCIs1kmCu,DCIs1kmLi,DCIs450mCu,X198_log,X210_log,S2_DCIs450mCu,S2_DCIs450mLi,S2_DCIs1kmCu,S2_DCIs1kmLi,S2_DCIs5kmCu,S2_DCIs5kmLi,S2_DCIs10kmCu,S2_DCIs10kmLi,S2_DCIs25kmCu,S2_DCIs25kmLi
-1,1,1,0,1,134,DF1,DF001WM,DF1-DF001WM,Duffins,2009,40093,1,1,-79.03968811,43.83671951,657597.9374,4855605.549,17, ,C1,75.6,16.579,1253.3724,1232.48286, ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,0,20,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,4,0,0,17,0,0,0,0,22,0,0,0,0,8.301134234,1,Duffins,0,0,881.489840046,Water Virtual Flow Segment,Duffins,571,364,sink,364_s,99.53,85.88,43.42,21.5,12.82,5.74,2.61,68.62,99.52,99.53,99.52,0,0,99.99,100,100.01,100,79.42,94.41,25.93,53.31,6.89,15.66
-1,2,1,1,2,133,DF1,DF001WM,DF1-DF001WM,Duffins,2009,40004,1,1,-79.03968811,43.83671951,657597.9374,4855605.549,17, ,C1,75.6,16.579,1253.3724,1232.48286, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Duffins,0,0,881.489840046,Water Virtual Flow Segment,Duffins,571,364,sink,364_s,99.53,85.88,43.42,21.5,12.82,5.74,2.61,68.62,99.52,99.53,99.52,0,0,99.99,100,100.01,100,79.42,94.41,25.93,53.31,6.89,15.66
-1,3,1,2,3,132,DF1,DF001WM,DF1-DF001WM,Duffins,2006,38905,1,1,-79.03968811,43.83671951,657597.9374,4855605.549,17, ,C1,73.2,16.095,1178.154,1158.5181, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,12,1,0,1,3,3,31,6,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,0,0,20,1,28,0,0,0,0,0,0,0,10.21375183,1,Duffins,0,0,881.489840046,Water Virtual Flow Segment,Duffins,571,364,sink,364_s,99.53,85.88,43.42,21.5,12.82,5.74,2.61,68.62,99.52,99.53,99.52,2.19722457734,1.09861228867,99.99,100,100.01,100,79.42,94.41,25.93,53.31,6.89,15.66
-1,4,1,3,4,131,DF1,DF001WM,DF1-DF001WM,Duffins,2003,37901,1,1,-79.03968811,43.83671951,657597.9374,4855605.549,17, ,C1,77.5,16.16,1252.4,1252.4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,7,4,0,9,0,0,1,3,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7.872832038,1,Duffins,0,0,881.489840046,Water Virtual Flow Segment,Duffins,571,364,sink,364_s,99.53,85.88,43.42,21.5,12.82,5.74,2.61,68.62,99.52,99.53,99.52,1.38629436112,0,99.99,100,100.01,100,79.42,94.41,25.93,53.31,6.89,15.66
-1,5,1,4,5,130,DF1,DF001WM,DF1-DF001WM,Duffins,2003,37812,1,1,-79.03968811,43.83671951,657597.9374,4855605.549,17, ,C1,77.5,16.16,1252.4,1252.4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1.408522817,1,Duffins,0,0,881.489840046,Water Virtual Flow Segment,Duffins,571,364,sink,364_s,99.53,85.88,43.42,21.5,12.82,5.74,2.61,68.62,99.52,99.53,99.52,0,0,99.99,100,100.01,100,79.42,94.41,25.93,53.31,6.89,15.66
-1,6,1,5,6,248,DF1,DU01,DF1-DU01,Duffins,2000,36754,1,1,-79.05298615,43.84769821,656500.1204,4856799.667,17, ,C1,50,10.52,526,526, ,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,14,30,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,0,0,0,6.730116749,300003,Duffins,0,0,1475.82474136,Water Virtual Flow Segment,Duffins,489,465,489_s,465_s,99.06,46.97,26.08,15.33,9.67,4.48,2.49,30.52,84.98,93.28,98.81,1.38629436112,2.63905732962,100.02,99.98,86.68,95.22,37.1,53.9,19.28,32.09,5.6,12.08
-1,7,1,6,7,143,DF1,DF003WM,DF1-DF003WM,Duffins,2009,40063,1,1,-79.07770538,43.84782028,654512.8524,4856766.73,17, ,C1,42.1,10.12,426.052,426.052, ,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,20,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,6.103931989,100002,Duffins,0,0,1266.28010958,Water Virtual Flow Segment,Duffins,392,390,392_s,390_s,99.62,84.43,69.71,59.89,53.26,45.45,35.05,76.84,99.12,99.36,99.47,1.60943791243,2.94443897917,100,100,100.01,100,83.2,88.5,69.92,77.87,67.08,68.18
-1,8,1,7,8,142,DF1,DF003WM,DF1-DF003WM,Duffins,2009,40003,1,1,-79.07770538,43.84782028,654512.8524,4856766.73,17, ,C1,42.1,10.12,426.052,426.052, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273840259,100002,Duffins,0,0,1266.28010958,Water Virtual Flow Segment,Duffins,392,390,392_s,390_s,99.62,84.43,69.71,59.89,53.26,45.45,35.05,76.84,99.12,99.36,99.47,0,1.38629436112,100,100,100.01,100,83.2,88.5,69.92,77.87,67.08,68.18
-1,9,1,8,9,141,DF1,DF003WM,DF1-DF003WM,Duffins,2006,38883,1,1,-79.07770538,43.84782028,654512.8524,4856766.73,17, ,C1,42.3,9.41,398.043,391.40895, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,5.376386896,100002,Duffins,0,0,1266.28010958,Water Virtual Flow Segment,Duffins,392,390,392_s,390_s,99.62,84.43,69.71,59.89,53.26,45.45,35.05,76.84,99.12,99.36,99.47,1.79175946923,2.19722457734,100,100,100.01,100,83.2,88.5,69.92,77.87,67.08,68.18
-1,10,1,9,10,140,DF1,DF003WM,DF1-DF003WM,Duffins,2003,37826,1,1,-79.07770538,43.84782028,654512.8524,4856766.73,17, ,C1,70,9.017,631.19,631.19, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,39,41,14,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,42,0,0,5,0,0,0,0,0,0,0,0,0,6.228548506,100002,Duffins,0,0,1266.28010958,Water Virtual Flow Segment,Duffins,392,390,392_s,390_s,99.62,84.43,69.71,59.89,53.26,45.45,35.05,76.84,99.12,99.36,99.47,2.48490664979,3.66356164613,100,100,100.01,100,83.2,88.5,69.92,77.87,67.08,68.18
