sections,DCI_as
1_s,100
101_s,100.01
100_s,100
103_s,100
107_s,100
110_s,100.01
111_s,100
104_s,100
105_s,100
108_s,100
109_s,100
114_s,100
113_s,99.99
128_s,100
115_s,100
161_s,100.01
116_s,99.99
118_s,99.99
164_s,99.99
14_s,100
15_s,100
12_s,100
120_s,100
125_s,100.01
131_s,100
172_s,99.99
130_s,100
162_s,99.99
133_s,100.01
138_s,100
65_s,100
135_s,100.01
62_s,100
141_s,100
142_s,100
136_s,99.99
66_s,100
139_s,100
23_s,100
149_s,99.99
151_s,100
145_s,83.81
146_s,75.05
147_s,72.1
148_s,72.89
155_s,39.45
233_s,83.62
17_s,100
18_s,100
152_s,100
153_s,99.99
154_s,100
160_s,99.99
157_s,74.92
158_s,100
236_s,100.01
159_s,100
254_s,100.01
237_s,99.99
163_s,100.01
168_s,100
173_s,100
166_s,99.99
167_s,100
258_s,100
259_s,100
170_s,99.5
263_s,100
171_s,2.51
392_s,100
174_s,85.27
175_s,34.76
195_s,71.38
176_s,100.01
178_s,100
177_s,100
242_s,99.99
196_s,100.01
19_s,100
183_s,99.99
184_s,99.99
194_s,100
203_s,66.43
4_s,100
193_s,100
198_s,99.99
197_s,100
201_s,99.99
280_s,100
200_s,100
207_s,94.35
2_s,100.01
20_s,100
21_s,100
205_s,100.01
202_s,78.48
318_s,100
319_s,100
204_s,60.43
206_s,100
216_s,100
209_s,86.81
210_s,54.36
211_s,86.62
22_s,100
213_s,4.64
221_s,94.59
229_s,87.89
214_s,4.91
215_s,60.07
231_s,91.02
339_s,91.03
217_s,100
218_s,100
36_s,100
220_s,100
224_s,100
226_s,100
223_s,100
337_s,100
225_s,100.01
227_s,99.99
330_s,100.02
228_s,100.01
333_s,99.99
338_s,100
230_s,17.29
24_s,100
232_s,76.23
234_s,100
244_s,100
235_s,100
248_s,100
239_s,100.01
241_s,100
262_s,100
240_s,100.01
25_s,100
243_s,100
245_s,100
246_s,100.01
247_s,100
281_s,100
251_s,100
249_s,100
250_s,100
26_s,100.01
252_s,100
255_s,99.99
253_s,100
282_s,100
261_s,100
266_s,100
268_s,100
27_s,99.99
270_s,100
264_s,100
265_s,100
394_s,100
267_s,99.99
273_s,99.97
301_s,100
28_s,100
271_s,99.99
272_s,99.99
292_s,100
294_s,100
274_s,95.37
275_s,99.97
276_s,94.86
278_s,92.34
277_s,0.05
279_s,22.5
37_s,100.01
285_s,100
288_s,100.01
283_s,100
289_s,100
284_s,100
291_s,100
286_s,99.99
287_s,100
375_s,100.01
373_s,99.98
374_s,100.01
290_s,100
376_s,100
34_s,100
31_s,99.99
29_s,100
381_s,100
297_s,100.01
298_s,100.01
295_s,100
300_s,100.01
296_s,99.99
313_s,100.01
310_s,100.01
314_s,100
3_s,99.99
304_s,85.54
305_s,80.94
302_s,73.02
306_s,100
412_s,8.35
316_s,99.99
317_s,99.99
33_s,100
35_s,99.99
311_s,100.01
312_s,100
315_s,99.99
320_s,50.84
321_s,100
322_s,82.38
324_s,100
323_s,100
325_s,99.99
326_s,74.96
327_s,88.8
329_s,100.01
331_s,100.01
342_s,100.01
334_s,100
335_s,100
343_s,100
336_s,100
344_s,100.01
340_s,100
341_s,100
345_s,99.99
379_s,100
355_s,100
348_s,100
365_s,100
346_s,100
347_s,100
369_s,99.99
350_s,100
349_s,100.01
71_s,100
351_s,100
352_s,100.01
357_s,99.99
354_s,100
367_s,100
359_s,100
360_s,100
364_s,100
362_s,100
363_s,99.99
371_s,100
366_s,100
368_s,99.99
370_s,100
38_s,100.02
372_s,99.99
377_s,100
378_s,100
383_s,100
40_s,99.99
52_s,100
380_s,100.01
382_s,100
384_s,99.99
385_s,99.99
386_s,100
387_s,100.01
388_s,99.99
389_s,100
390_s,99.99
393_s,100.01
397_s,100.01
400_s,79.94
395_s,100
398_s,100
399_s,99.99
411_s,100
6_s,100
41_s,99.99
42_s,100
402_s,70.12
403_s,68.62
406_s,63.16
407_s,0.14
408_s,42.17
413_s,44.69
415_s,53.31
45_s,100
414_s,48.65
416_s,100
417_s,100
43_s,100.01
44_s,99.99
48_s,100
46_s,99.99
47_s,100
49_s,100
58_s,100
50_s,100
51_s,99.99
55_s,100.01
56_s,100
99_s,99.99
70_s,100
59_s,100.01
60_s,99.99
61_s,99.99
7_s,100
64_s,99.99
63_s,100
67_s,89.04
68_s,100.01
73_s,100.01
78_s,100
8_s,100.01
72_s,100
74_s,100
86_s,99.99
88_s,100
85_s,100
79_s,100
82_s,100.01
80_s,100
9_s,100
84_s,100.01
81_s,100.01
87_s,100
89_s,100.01
93_s,99.99
90_s,100
92_s,100.01
96_s,100
94_s,100
98_s,100.01
97_s,100
