sections,DCI_as
1_s,99.99
101_s,99.99
100_s,99.99
103_s,100.02
107_s,99.9999999999999
110_s,99.98
111_s,100
104_s,100.02
105_s,100.01
108_s,100.02
109_s,100.02
114_s,100.02
113_s,100.01
128_s,99.99
115_s,99.96
161_s,99.96
116_s,99.95
118_s,99.99
164_s,99.88
14_s,100.01
15_s,99.99
12_s,99.95
120_s,99.98
125_s,99.96
131_s,100.02
172_s,100.01
130_s,99.95
162_s,99.93
133_s,95.96
138_s,90.08
65_s,95.91
135_s,97.58
62_s,98.02
136_s,92.36
141_s,91.83
142_s,87.66
66_s,69.78
139_s,98.46
23_s,99.96
149_s,81.74
151_s,84.93
145_s,75.9
146_s,72.28
147_s,71.48
148_s,71.76
155_s,29.9
233_s,73.37
18_s,99.99
17_s,100.02
152_s,87.09
153_s,88.66
154_s,89.09
160_s,90.07
157_s,33.83
158_s,37.93
236_s,38.79
159_s,38.87
254_s,45.89
237_s,93.89
163_s,99.84
168_s,99.79
173_s,99.83
166_s,99.68
167_s,99.49
258_s,99.79
259_s,99.15
170_s,99.66
263_s,99.73
171_s,0.44
392_s,96.9
174_s,39.71
175_s,50.92
195_s,56.18
176_s,68.36
178_s,71.89
177_s,58.13
242_s,69.87
196_s,77.78
19_s,100.03
183_s,63.95
184_s,60.51
194_s,61.74
203_s,58.63
4_s,100
193_s,62.77
198_s,62.33
197_s,81.1
201_s,82.67
280_s,84.52
200_s,64.66
207_s,70.27
2_s,100.01
20_s,100.01
21_s,100.01
205_s,87
202_s,40.2
318_s,62.23
319_s,62.9
204_s,31.94
206_s,91.4
216_s,91.6
209_s,76.55
210_s,75.89
211_s,77.58
22_s,100
213_s,1.16
221_s,81.94
229_s,78.3
214_s,1.19
215_s,18.25
231_s,22.03
339_s,23.02
217_s,95.19
218_s,95.2
36_s,100.01
220_s,85.87
224_s,86.17
226_s,87.65
223_s,85.41
337_s,85.33
225_s,89.09
227_s,89.65
330_s,89.93
228_s,90.38
333_s,91.12
338_s,92.2
230_s,1.21
24_s,100
232_s,43.72
234_s,76.87
244_s,82.46
235_s,51.81
248_s,56.19
239_s,43.88
241_s,98.51
262_s,98.78
240_s,49.25
25_s,100
243_s,73.92
245_s,86.41
246_s,86.55
247_s,87.38
281_s,90.02
251_s,88.62
249_s,59.3
250_s,60.93
26_s,99.97
252_s,64.58
255_s,89.97
253_s,66.75
282_s,93.73
261_s,99.97
266_s,98.88
268_s,99.07
27_s,99.98
270_s,99.92
264_s,99.7
265_s,98.6
394_s,98.64
267_s,98.67
273_s,98.32
301_s,99.36
28_s,100
271_s,99.97
272_s,99.97
292_s,100.02
294_s,100.01
274_s,97.94
275_s,97.96
276_s,97.85
278_s,97.61
277_s,0.01
279_s,2.71
37_s,100
285_s,96.23
288_s,96
283_s,98.04
289_s,98.45
284_s,99.37
291_s,99.76
286_s,99.7
287_s,99.94
375_s,99.97
373_s,99.97
374_s,99.96
290_s,99.89
376_s,99.97
34_s,99.99
31_s,100.01
29_s,100.01
381_s,99.98
297_s,100
298_s,100.01
295_s,99.97
300_s,99.99
296_s,100.01
313_s,100.01
310_s,99.99
314_s,100.02
3_s,100.01
302_s,76.41
304_s,76.36
305_s,75.71
306_s,76.63
412_s,1.46
316_s,76.65
317_s,76.63
35_s,100
33_s,99.98
311_s,99.98
312_s,100.01
315_s,100.01
320_s,4.6
321_s,91.63
322_s,91.17
323_s,93.68
324_s,94.8
325_s,93.75
326_s,90.89
327_s,90.99
329_s,91.07
331_s,91.22
342_s,92.08
334_s,91.45
335_s,92.2
343_s,92.65
336_s,92.73
344_s,95.2
340_s,94.92
341_s,94.93
345_s,96.47
379_s,96.9
355_s,95.66
348_s,99.57
365_s,99.57
346_s,97.61
347_s,98.54
369_s,99.79
349_s,99.9
350_s,100
71_s,99.96
351_s,99.69
352_s,98.69
357_s,99.72
354_s,98.07
367_s,98.64
359_s,99.99
360_s,99.99
364_s,100.02
362_s,100
363_s,100
371_s,100
366_s,100.01
368_s,100
370_s,100.01
38_s,99.99
372_s,100.02
377_s,100
378_s,99.99
383_s,98.89
52_s,99.96
40_s,99.98
380_s,99.97
382_s,99.99
384_s,99.64
385_s,99.94
386_s,99.96
387_s,99.96
388_s,99.98
389_s,99.99
390_s,93.07
393_s,90.1
397_s,85.96
395_s,82.89
400_s,79.13
398_s,84.25
399_s,84.83
411_s,85.04
6_s,99.99
41_s,100.04
42_s,100
402_s,76.09
403_s,75.51
406_s,74.96
407_s,0.04
408_s,19.92
413_s,20.47
415_s,21.65
45_s,100.02
414_s,7.99
416_s,25.31
417_s,27.2
43_s,99.96
44_s,100.02
48_s,99.99
46_s,99.99
47_s,100
49_s,100.01
58_s,99.98
50_s,100.03
55_s,100
51_s,100.01
56_s,100.03
99_s,100.01
70_s,100.03
59_s,99.98
60_s,100
61_s,100.03
7_s,100.02
64_s,99.4
63_s,99.94
67_s,51.62
68_s,100
78_s,99.58
73_s,99.98
8_s,100
72_s,100
74_s,100.03
86_s,100.02
88_s,99.99
85_s,99.98
79_s,98.34
82_s,97.68
80_s,97.61
9_s,99.99
84_s,95.64
81_s,97.73
87_s,99.9799999999999
89_s,99.98
93_s,100.03
90_s,100.01
92_s,99.99
96_s,100
94_s,100.05
98_s,100
97_s,99.96
