"Pass","Bar_ID","Seg_ID","nat_barrier"
1,38,"38_s",FALSE
1,38,"sink",FALSE
1,57,"57_s",FALSE
1,57,"38_s",FALSE
1,61,"61_s",FALSE
1,61,"57_s",FALSE
1,63,"63_s",FALSE
1,63,"57_s",FALSE
1,76,"76_s",FALSE
1,76,"61_s",FALSE
1,78,"78_s",FALSE
1,78,"61_s",FALSE
1,74,"74_s",FALSE
1,74,"63_s",FALSE
1,14,"14_s",FALSE
1,14,"76_s",FALSE
1,94,"94_s",FALSE
1,94,"78_s",FALSE
1,16,"16_s",FALSE
1,16,"14_s",FALSE
1,20,"20_s",FALSE
1,20,"14_s",FALSE
1,23,"23_s",FALSE
1,23,"14_s",FALSE
1,95,"95_s",FALSE
1,95,"94_s",FALSE
1,19,"19_s",FALSE
1,19,"20_s",FALSE
1,24,"24_s",FALSE
1,24,"23_s",FALSE
0,100,"100_s",FALSE
0,100,"95_s",FALSE
1,18,"18_s",FALSE
1,18,"19_s",FALSE
1,25,"25_s",FALSE
1,25,"24_s",FALSE
1,101,"101_s",FALSE
1,101,"100_s",FALSE
1,31,"31_s",FALSE
1,31,"25_s",FALSE
0,156,"156_s",FALSE
0,156,"25_s",FALSE
0,160,"160_s",FALSE
0,160,"25_s",FALSE
1,104,"104_s",FALSE
1,104,"101_s",FALSE
1,114,"114_s",FALSE
1,114,"101_s",FALSE
1,27,"27_s",FALSE
1,27,"31_s",FALSE
1,147,"147_s",FALSE
1,147,"160_s",FALSE
1,167,"167_s",FALSE
1,167,"160_s",FALSE
1,115,"115_s",FALSE
1,115,"114_s",FALSE
1,132,"132_s",FALSE
1,132,"27_s",FALSE
1,135,"135_s",FALSE
1,135,"27_s",FALSE
1,176,"176_s",FALSE
1,176,"147_s",FALSE
1,170,"170_s",FALSE
1,170,"167_s",FALSE
1,119,"119_s",FALSE
1,119,"115_s",FALSE
1,122,"122_s",FALSE
1,122,"115_s",FALSE
1,141,"141_s",FALSE
1,141,"132_s",FALSE
1,138,"138_s",FALSE
1,138,"135_s",FALSE
1,200,"200_s",FALSE
1,200,"176_s",FALSE
1,203,"203_s",FALSE
1,203,"176_s",FALSE
0,180,"180_s",FALSE
0,180,"170_s",FALSE
1,183,"183_s",FALSE
1,183,"170_s",FALSE
1,230,"230_s",FALSE
1,230,"119_s",FALSE
1,243,"243_s",FALSE
1,243,"122_s",FALSE
1,196,"196_s",FALSE
1,196,"141_s",FALSE
1,300,"300_s",FALSE
1,300,"138_s",FALSE
1,209,"209_s",FALSE
1,209,"200_s",FALSE
1,211,"211_s",FALSE
1,211,"200_s",FALSE
1,233,"233_s",FALSE
1,233,"230_s",FALSE
1,267,"267_s",FALSE
1,267,"243_s",FALSE
1,273,"273_s",FALSE
1,273,"243_s",FALSE
1,278,"278_s",FALSE
1,278,"243_s",FALSE
1,214,"214_s",FALSE
1,214,"196_s",FALSE
