"Seg_ID","Shape_Length"
"sink",3207.77
"14_s",1484.06
"18_s",18.74
"23_s",258.35
"19_s",1727.63
"24_s",16.91
"6_s",373.39
"20_s",240.5
"25_s",13.75
"7_s",61.57
"21_s",6.49
"26_s",168.3
"8_s",12.79
"22_s",203.79
"27_s",256.02
"9_s",3822.72
"28_s",382.74
"2_s",555.18
"35_s",3986.33
"37_s",1625.85
"72_s",1925.38
"73_s",380.3
"78_s",6153.67
"41_s",172.93
"42_s",4.3
"52_s",10.95
"89_s",11.19
"93_s",86.11
"86_s",196.82
"62_s",745.99
"84_s",3083.71
"138_s",3951.62
"45_s",66.62
"43_s",145.15
"51_s",1064.62
"90_s",3678.79
"94_s",434.01
"64_s",244.76
"149_s",736.51
"151_s",526.97
"67_s",542
"174_s",22.92
"46_s",141.13
"44_s",162.22
"55_s",1443.39
"97_s",4178.89
"115_s",1138.57
"120_s",2708.35
"130_s",1307.15
"145_s",195.67
"152_s",11.97
"232_s",1432.37
"175_s",6012.11
"47_s",169.75
"48_s",1216.39
"99_s",10.96
"166_s",789.91
"167_s",2435.43
"172_s",4092.79
"162_s",3653.14
"147_s",124.33
"148_s",464.83
"153_s",152.47
"176_s",363.23
"242_s",168.94
"203_s",10.28
"209_s",2715.54
"210_s",11.8
"49_s",479.55
"59_s",740.49
"100_s",3635.98
"258_s",279.22
"266_s",2711.71
"268_s",1205.04
"393_s",2355.03
"170_s",16.12
"263_s",111.77
"155_s",736.85
"233_s",505.86
"154_s",148.21
"178_s",861.61
"204_s",2937.82
"223_s",826.57
"226_s",1180.64
"229_s",158.31
"213_s",153.33
"105_s",178.44
"108_s",71.49
"265_s",1175.43
"276_s",0.7
"278_s",140.59
"395_s",2316.78
"158_s",11.86
"236_s",571.29
"234_s",1094.06
"160_s",2413.32
"197_s",1068.17
"201_s",2403.59
"227_s",2699.52
"330_s",3381.74
"214_s",2683.52
"304_s",1791.05
"305_s",101.51
"406_s",3.12
"159_s",2053.37
"239_s",118.37
"245_s",257.21
"246_s",4035.99
"262_s",2482.13
"333_s",364.05
"340_s",525.4
"341_s",907.41
"322_s",207.52
"323_s",353.82
"326_s",568.98
"334_s",808.13
"412_s",547.05
"407_s",1032.81
"240_s",286.01
"247_s",179.04
"285_s",4333.84
"288_s",201.45
"271_s",2762.14
"272_s",2525.97
"335_s",39
"345_s",67.97
"379_s",175
"343_s",3530.15
"415_s",284.82
"235_s",314.8
"251_s",342.38
"310_s",902.71
"336_s",3287.53
"346_s",718.47
"383_s",4623.2
"354_s",2891.46
"416_s",364.74
"248_s",16.27
"255_s",2731.84
"365_s",557.68
"347_s",1490.26
"349_s",133.4
"357_s",50.28
"249_s",244.01
"283_s",12.66
"289_s",1324.94
"369_s",2742.77
"359_s",143.27
"250_s",238.2
"284_s",960.8
"360_s",2175.06
"252_s",27.46
"291_s",1690.98
"363_s",286.82
