"Seg_ID","Seg"
"38_s","38_s"
"38_s","sink"
"38_s","57_s"
"57_s","57_s"
"57_s","38_s"
"57_s","61_s"
"57_s","63_s"
"61_s","61_s"
"61_s","57_s"
"61_s","76_s"
"61_s","78_s"
"63_s","63_s"
"63_s","57_s"
"63_s","74_s"
"76_s","76_s"
"76_s","61_s"
"76_s","14_s"
"78_s","78_s"
"78_s","61_s"
"78_s","94_s"
"74_s","74_s"
"74_s","63_s"
"14_s","14_s"
"14_s","76_s"
"14_s","16_s"
"14_s","20_s"
"14_s","23_s"
"94_s","94_s"
"94_s","78_s"
"94_s","95_s"
"16_s","16_s"
"16_s","14_s"
"20_s","20_s"
"20_s","14_s"
"20_s","19_s"
"23_s","23_s"
"23_s","14_s"
"23_s","24_s"
"95_s","95_s"
"95_s","94_s"
"95_s","100_s"
"19_s","19_s"
"19_s","20_s"
"19_s","18_s"
"24_s","24_s"
"24_s","23_s"
"24_s","25_s"
"100_s","100_s"
"100_s","95_s"
"100_s","101_s"
"18_s","18_s"
"18_s","19_s"
"25_s","25_s"
"25_s","24_s"
"25_s","31_s"
"25_s","156_s"
"25_s","160_s"
"101_s","101_s"
"101_s","100_s"
"101_s","104_s"
"101_s","114_s"
"31_s","31_s"
"31_s","25_s"
"31_s","27_s"
"156_s","156_s"
"156_s","25_s"
"160_s","160_s"
"160_s","25_s"
"160_s","147_s"
"160_s","167_s"
"104_s","104_s"
"104_s","101_s"
"114_s","114_s"
"114_s","101_s"
"114_s","115_s"
"27_s","27_s"
"27_s","31_s"
"27_s","132_s"
"27_s","135_s"
"147_s","147_s"
"147_s","160_s"
"147_s","176_s"
"167_s","167_s"
"167_s","160_s"
"167_s","170_s"
"115_s","115_s"
"115_s","114_s"
"115_s","119_s"
"115_s","122_s"
"132_s","132_s"
"132_s","27_s"
"132_s","141_s"
"135_s","135_s"
"135_s","27_s"
"135_s","138_s"
"176_s","176_s"
"176_s","147_s"
"176_s","200_s"
"176_s","203_s"
"170_s","170_s"
"170_s","167_s"
"170_s","180_s"
"170_s","183_s"
"119_s","119_s"
"119_s","115_s"
"119_s","230_s"
"122_s","122_s"
"122_s","115_s"
"122_s","243_s"
"141_s","141_s"
"141_s","132_s"
"141_s","196_s"
"138_s","138_s"
"138_s","135_s"
"138_s","300_s"
"200_s","200_s"
"200_s","176_s"
"200_s","209_s"
"200_s","211_s"
"203_s","203_s"
"203_s","176_s"
"180_s","180_s"
"180_s","170_s"
"183_s","183_s"
"183_s","170_s"
"230_s","230_s"
"230_s","119_s"
"230_s","233_s"
"243_s","243_s"
"243_s","122_s"
"243_s","267_s"
"243_s","273_s"
"243_s","278_s"
"196_s","196_s"
"196_s","141_s"
"196_s","214_s"
"300_s","300_s"
"300_s","138_s"
"300_s","305_s"
"209_s","209_s"
"209_s","200_s"
"211_s","211_s"
"211_s","200_s"
"233_s","233_s"
"233_s","230_s"
"267_s","267_s"
"267_s","243_s"
"267_s","473_s"
"273_s","273_s"
"273_s","243_s"
"273_s","468_s"
"278_s","278_s"
"278_s","243_s"
"278_s","281_s"
"278_s","285_s"
"214_s","214_s"
"214_s","196_s"
"214_s","220_s"
"214_s","225_s"
"214_s","349_s"
"214_s","365_s"
"214_s","419_s"
"305_s","305_s"
"305_s","300_s"
"305_s","309_s"
"305_s","314_s"
"473_s","473_s"
"473_s","267_s"
"473_s","524_s"
"468_s","468_s"
"468_s","273_s"
"281_s","281_s"
"281_s","278_s"
"281_s","280_s"
"285_s","285_s"
"285_s","278_s"
"285_s","441_s"
"220_s","220_s"
"220_s","214_s"
"220_s","296_s"
"220_s","327_s"
"220_s","332_s"
"225_s","225_s"
"225_s","214_s"
"349_s","349_s"
"349_s","214_s"
"349_s","350_s"
"365_s","365_s"
"365_s","214_s"
"365_s","486_s"
"419_s","419_s"
"419_s","214_s"
"419_s","424_s"
"419_s","427_s"
"419_s","432_s"
"419_s","436_s"
"309_s","309_s"
"309_s","305_s"
"309_s","372_s"
"309_s","376_s"
"314_s","314_s"
"314_s","305_s"
"314_s","385_s"
"314_s","388_s"
"524_s","524_s"
"524_s","473_s"
"524_s","520_s"
"524_s","536_s"
"280_s","280_s"
"280_s","281_s"
"280_s","289_s"
"441_s","441_s"
"441_s","285_s"
"441_s","448_s"
"296_s","296_s"
"296_s","220_s"
"296_s","295_s"
"327_s","327_s"
"327_s","220_s"
"327_s","330_s"
"332_s","332_s"
"332_s","220_s"
"332_s","333_s"
"350_s","350_s"
"350_s","349_s"
"350_s","356_s"
"350_s","361_s"
"486_s","486_s"
"486_s","365_s"
"486_s","489_s"
"486_s","501_s"
"424_s","424_s"
"424_s","419_s"
"424_s","484_s"
"427_s","427_s"
"427_s","419_s"
"427_s","428_s"
"432_s","432_s"
"432_s","419_s"
"432_s","493_s"
"436_s","436_s"
"436_s","419_s"
"436_s","435_s"
"372_s","372_s"
"372_s","309_s"
"372_s","383_s"
"376_s","376_s"
"376_s","309_s"
"385_s","385_s"
"385_s","314_s"
"385_s","565_s"
"388_s","388_s"
"388_s","314_s"
"388_s","389_s"
"520_s","520_s"
