"Bar_ID","Seg_1","Seg_2","Pass","nat_barrier","section1_2"
14,"14_s","sink",0.98,FALSE,"14_s,sink"
18,"18_s","sink",0.99,FALSE,"18_s,sink"
23,"23_s","14_s",0.99,FALSE,"23_s,14_s"
19,"19_s","18_s",0.98,FALSE,"19_s,18_s"
24,"24_s","23_s",0.97,FALSE,"24_s,23_s"
6,"6_s","19_s",0.98,FALSE,"6_s,19_s"
20,"20_s","19_s",0.87,FALSE,"20_s,19_s"
25,"25_s","24_s",0.99,FALSE,"25_s,24_s"
7,"7_s","6_s",0.89,FALSE,"7_s,6_s"
21,"21_s","20_s",0.95,FALSE,"21_s,20_s"
26,"26_s","25_s",0.99,FALSE,"26_s,25_s"
8,"8_s","7_s",0.9,FALSE,"8_s,7_s"
22,"22_s","21_s",0.95,FALSE,"22_s,21_s"
27,"27_s","26_s",0.98,FALSE,"27_s,26_s"
9,"9_s","8_s",0.86,FALSE,"9_s,8_s"
28,"28_s","27_s",0.99,FALSE,"28_s,27_s"
2,"2_s","9_s",0.98,FALSE,"2_s,9_s"
35,"35_s","9_s",0.98,FALSE,"35_s,9_s"
37,"37_s","28_s",0.98,FALSE,"37_s,28_s"
72,"72_s","35_s",0.97,FALSE,"72_s,35_s"
73,"73_s","35_s",0.96,FALSE,"73_s,35_s"
78,"78_s","35_s",0.96,FALSE,"78_s,35_s"
41,"41_s","37_s",0.78,FALSE,"41_s,37_s"
42,"42_s","37_s",0.95,FALSE,"42_s,37_s"
52,"52_s","37_s",0.98,FALSE,"52_s,37_s"
89,"89_s","72_s",0.96,FALSE,"89_s,72_s"
93,"93_s","72_s",0.96,FALSE,"93_s,72_s"
86,"86_s","73_s",0.95,FALSE,"86_s,73_s"
62,"62_s","78_s",0.87,FALSE,"62_s,78_s"
84,"84_s","78_s",0.98,FALSE,"84_s,78_s"
138,"138_s","78_s",0.99,FALSE,"138_s,78_s"
45,"45_s","41_s",0.93,FALSE,"45_s,41_s"
43,"43_s","42_s",0.95,FALSE,"43_s,42_s"
51,"51_s","52_s",0.98,FALSE,"51_s,52_s"
90,"90_s","89_s",0.96,FALSE,"90_s,89_s"
94,"94_s","93_s",0.98,FALSE,"94_s,93_s"
64,"64_s","62_s",0.96,FALSE,"64_s,62_s"
149,"149_s","84_s",0.83,FALSE,"149_s,84_s"
151,"151_s","84_s",0.93,FALSE,"151_s,84_s"
67,"67_s","138_s",0,FALSE,"67_s,138_s"
174,"174_s","138_s",0,FALSE,"174_s,138_s"
46,"46_s","45_s",0.97,FALSE,"46_s,45_s"
44,"44_s","43_s",0.91,FALSE,"44_s,43_s"
55,"55_s","51_s",0.96,FALSE,"55_s,51_s"
97,"97_s","90_s",0.97,FALSE,"97_s,90_s"
115,"115_s","90_s",0.96,FALSE,"115_s,90_s"
120,"120_s","90_s",0.97,FALSE,"120_s,90_s"
130,"130_s","90_s",0.88,FALSE,"130_s,90_s"
145,"145_s","149_s",0.91,FALSE,"145_s,149_s"
152,"152_s","151_s",0.83,FALSE,"152_s,151_s"
232,"232_s","67_s",0.96,FALSE,"232_s,67_s"
175,"175_s","174_s",0.93,FALSE,"175_s,174_s"
47,"47_s","46_s",0.92,FALSE,"47_s,46_s"
48,"48_s","44_s",0.46,FALSE,"48_s,44_s"
99,"99_s","55_s",0.64,FALSE,"99_s,55_s"
166,"166_s","97_s",0.74,FALSE,"166_s,97_s"
167,"167_s","97_s",0.88,FALSE,"167_s,97_s"
172,"172_s","120_s",0.98,FALSE,"172_s,120_s"
162,"162_s","130_s",0.98,FALSE,"162_s,130_s"
147,"147_s","145_s",0.07,FALSE,"147_s,145_s"
148,"148_s","145_s",0.82,FALSE,"148_s,145_s"
153,"153_s","152_s",0.91,FALSE,"153_s,152_s"
176,"176_s","232_s",0.94,FALSE,"176_s,232_s"
242,"242_s","232_s",0.91,FALSE,"242_s,232_s"
203,"203_s","175_s",0,FALSE,"203_s,175_s"
209,"209_s","175_s",0.98,FALSE,"209_s,175_s"
210,"210_s","175_s",0,FALSE,"210_s,175_s"
49,"49_s","47_s",0.45,FALSE,"49_s,47_s"
59,"59_s","48_s",0.95,FALSE,"59_s,48_s"
100,"100_s","99_s",0.75,FALSE,"100_s,99_s"
258,"258_s","166_s",0.76,FALSE,"258_s,166_s"
266,"266_s","167_s",0.89,FALSE,"266_s,167_s"
268,"268_s","167_s",0.94,FALSE,"268_s,167_s"
393,"393_s","172_s",0.56,FALSE,"393_s,172_s"
170,"170_s","162_s",0,FALSE,"170_s,162_s"
263,"263_s","162_s",0.61,FALSE,"263_s,162_s"
155,"155_s","147_s",0.84,FALSE,"155_s,147_s"
233,"233_s","148_s",0.92,FALSE,"233_s,148_s"
154,"154_s","153_s",0.95,FALSE,"154_s,153_s"
178,"178_s","176_s",0.95,FALSE,"178_s,176_s"
204,"204_s","203_s",0.9,FALSE,"204_s,203_s"
223,"223_s","209_s",0.23,FALSE,"223_s,209_s"
226,"226_s","209_s",0.93,FALSE,"226_s,209_s"
229,"229_s","209_s",0.01,FALSE,"229_s,209_s"
213,"213_s","210_s",0.16,FALSE,"213_s,210_s"
105,"105_s","100_s",0.98,FALSE,"105_s,100_s"
108,"108_s","100_s",0.98,FALSE,"108_s,100_s"
265,"265_s","266_s",0.68,FALSE,"265_s,266_s"
276,"276_s","266_s",0,FALSE,"276_s,266_s"
278,"278_s","266_s",0,FALSE,"278_s,266_s"
395,"395_s","393_s",0.68,FALSE,"395_s,393_s"
158,"158_s","155_s",0.92,FALSE,"158_s,155_s"
236,"236_s","155_s",0.97,FALSE,"236_s,155_s"
234,"234_s","233_s",0.79,FALSE,"234_s,233_s"
160,"160_s","154_s",0.97,FALSE,"160_s,154_s"
197,"197_s","178_s",0.83,FALSE,"197_s,178_s"
201,"201_s","178_s",0.96,FALSE,"201_s,178_s"
227,"227_s","226_s",0.64,FALSE,"227_s,226_s"
330,"330_s","226_s",0.95,FALSE,"330_s,226_s"
214,"214_s","213_s",0.01,FALSE,"214_s,213_s"
304,"304_s","395_s",0.9,FALSE,"304_s,395_s"
305,"305_s","395_s",0.03,FALSE,"305_s,395_s"
406,"406_s","395_s",0.01,FALSE,"406_s,395_s"
159,"159_s","158_s",0.94,FALSE,"159_s,158_s"
239,"239_s","236_s",0.88,FALSE,"239_s,236_s"
245,"245_s","234_s",0.87,FALSE,"245_s,234_s"
246,"246_s","234_s",0.9,FALSE,"246_s,234_s"
262,"262_s","160_s",0.93,FALSE,"262_s,160_s"
333,"333_s","227_s",0.65,FALSE,"333_s,227_s"
340,"340_s","227_s",0.97,FALSE,"340_s,227_s"
341,"341_s","227_s",0.92,FALSE,"341_s,227_s"
322,"322_s","330_s",0.78,FALSE,"322_s,330_s"
323,"323_s","330_s",0.14,FALSE,"323_s,330_s"
326,"326_s","330_s",0,FALSE,"326_s,330_s"
334,"334_s","330_s",0.89,FALSE,"334_s,330_s"
412,"412_s","305_s",0.02,FALSE,"412_s,305_s"
407,"407_s","406_s",0,FALSE,"407_s,406_s"
240,"240_s","239_s",0.89,FALSE,"240_s,239_s"
247,"247_s","245_s",0.94,FALSE,"247_s,245_s"
285,"285_s","246_s",0.92,FALSE,"285_s,246_s"
288,"288_s","246_s",0.64,FALSE,"288_s,246_s"
271,"271_s","262_s",0.48,FALSE,"271_s,262_s"
272,"272_s","262_s",0.86,FALSE,"272_s,262_s"
335,"335_s","333_s",0.9,FALSE,"335_s,333_s"
345,"345_s","340_s",0.95,FALSE,"345_s,340_s"
379,"379_s","341_s",0.96,FALSE,"379_s,341_s"
343,"343_s","334_s",0.92,FALSE,"343_s,334_s"
415,"415_s","407_s",0.91,FALSE,"415_s,407_s"
235,"235_s","240_s",0.93,FALSE,"235_s,240_s"
251,"251_s","247_s",0.98,FALSE,"251_s,247_s"
310,"310_s","271_s",0.9,FALSE,"310_s,271_s"
336,"336_s","335_s",0.75,FALSE,"336_s,335_s"
346,"346_s","345_s",0.8,FALSE,"346_s,345_s"
383,"383_s","379_s",0.95,FALSE,"383_s,379_s"
354,"354_s","343_s",0.98,FALSE,"354_s,343_s"
416,"416_s","415_s",0.9,FALSE,"416_s,415_s"
248,"248_s","235_s",0.93,FALSE,"248_s,235_s"
255,"255_s","251_s",0.8,FALSE,"255_s,251_s"
365,"365_s","336_s",0.47,FALSE,"365_s,336_s"
347,"347_s","346_s",0.85,FALSE,"347_s,346_s"
349,"349_s","383_s",0.85,FALSE,"349_s,383_s"
357,"357_s","354_s",0.98,FALSE,"357_s,354_s"
249,"249_s","248_s",0.93,FALSE,"249_s,248_s"
283,"283_s","255_s",0.74,FALSE,"283_s,255_s"
289,"289_s","255_s",0.82,FALSE,"289_s,255_s"
369,"369_s","347_s",0.86,FALSE,"369_s,347_s"
359,"359_s","357_s",0.99,FALSE,"359_s,357_s"
250,"250_s","249_s",0.52,FALSE,"250_s,249_s"
284,"284_s","283_s",0.85,FALSE,"284_s,283_s"
360,"360_s","359_s",0.98,FALSE,"360_s,359_s"
252,"252_s","250_s",0.33,FALSE,"252_s,250_s"
291,"291_s","284_s",0.91,FALSE,"291_s,284_s"
363,"363_s","360_s",0.72,FALSE,"363_s,360_s"
14,"sink","14_s",0.98,FALSE,"sink,14_s"
18,"sink","18_s",0.99,FALSE,"sink,18_s"
23,"14_s","23_s",0.99,FALSE,"14_s,23_s"
19,"18_s","19_s",0.98,FALSE,"18_s,19_s"
24,"23_s","24_s",0.97,FALSE,"23_s,24_s"
6,"19_s","6_s",0.98,FALSE,"19_s,6_s"
20,"19_s","20_s",0.87,FALSE,"19_s,20_s"
25,"24_s","25_s",0.99,FALSE,"24_s,25_s"
7,"6_s","7_s",0.89,FALSE,"6_s,7_s"
21,"20_s","21_s",0.95,FALSE,"20_s,21_s"
26,"25_s","26_s",0.99,FALSE,"25_s,26_s"
8,"7_s","8_s",0.9,FALSE,"7_s,8_s"
22,"21_s","22_s",0.95,FALSE,"21_s,22_s"
27,"26_s","27_s",0.98,FALSE,"26_s,27_s"
9,"8_s","9_s",0.86,FALSE,"8_s,9_s"
28,"27_s","28_s",0.99,FALSE,"27_s,28_s"
2,"9_s","2_s",0.98,FALSE,"9_s,2_s"
35,"9_s","35_s",0.98,FALSE,"9_s,35_s"
37,"28_s","37_s",0.98,FALSE,"28_s,37_s"
72,"35_s","72_s",0.97,FALSE,"35_s,72_s"
73,"35_s","73_s",0.96,FALSE,"35_s,73_s"
78,"35_s","78_s",0.96,FALSE,"35_s,78_s"
41,"37_s","41_s",0.78,FALSE,"37_s,41_s"
42,"37_s","42_s",0.95,FALSE,"37_s,42_s"
52,"37_s","52_s",0.98,FALSE,"37_s,52_s"
89,"72_s","89_s",0.96,FALSE,"72_s,89_s"
93,"72_s","93_s",0.96,FALSE,"72_s,93_s"
86,"73_s","86_s",0.95,FALSE,"73_s,86_s"
62,"78_s","62_s",0.87,FALSE,"78_s,62_s"
84,"78_s","84_s",0.98,FALSE,"78_s,84_s"
138,"78_s","138_s",0.99,FALSE,"78_s,138_s"
