"start","end","path2","barrier_id","pathway_pass","start_section_length","finish_section_length"
"5949_s","5949_s","5949_s","NA",1,677.89,677.89
"5949_s","5953_s","5949_s,sink,5953_s","5949,5953",0,677.89,563.62
"5949_s","5959_s","5949_s,5959_s","5959",0,677.89,3026.67
"5949_s","sink","5949_s,sink","5949",0,677.89,378.69
"5953_s","5949_s","5953_s,sink,5949_s","5953,5949",0,563.62,677.89
"5953_s","5953_s","5953_s","NA",1,563.62,563.62
"5953_s","5959_s","5953_s,sink,5949_s,5959_s","5953,5949,5959",0,563.62,3026.67
"5953_s","sink","5953_s,sink","5953",0,563.62,378.69
"5959_s","5949_s","5959_s,5949_s","5959",0,3026.67,677.89
"5959_s","5953_s","5959_s,5949_s,sink,5953_s","5959,5949,5953",0,3026.67,563.62
"5959_s","5959_s","5959_s","NA",1,3026.67,3026.67
"5959_s","sink","5959_s,5949_s,sink","5959,5949",0,3026.67,378.69
"sink","5949_s","sink,5949_s","5949",0,378.69,677.89
"sink","5953_s","sink,5953_s","5953",0,378.69,563.62
"sink","5959_s","sink,5949_s,5959_s","5949,5959",0,378.69,3026.67
"sink","sink","sink","NA",1,378.69,378.69
